hour,minute,day_of_week,month,d1_volume,d1_tr,d1_adx,d1_ret_1d,d1_ret_5d,m1_volume,m1_ret_15m,m1_ret_60m,m1_ret_120m,is_long,entry_time,period,pnl_net,target
14,20,1,4,43794.0,2440.0,14.33771651097451,0.0033694282260345876,-0.017454600408029597,218.0,0.000777786419849047,-0.004102167182662542,-0.010763435073422034,0,2007-04-24 14:20:00,train,-540.0,0
15,13,0,4,54961.0,5955.0,15.034668677541383,0.029852723034541118,-0.017959080575903008,89.0,-0.004761173398863505,-0.004888536254511022,-0.007403625223385224,0,2007-04-23 15:13:00,train,-2100.0,0
13,35,1,4,43794.0,2440.0,14.33771651097451,0.0033694282260345876,-0.017454600408029597,20.0,-0.0026057791537668074,-0.008743589743589797,-0.013826177903624948,0,2007-04-24 13:35:00,train,-9480.0,0
15,13,1,4,61837.0,2205.0,16.345314342504484,0.002854256125284227,0.0076647800817237766,73.0,0.00040749796251016157,-0.0015251652262328053,-0.003045685279187804,0,2007-04-17 15:13:00,train,2940.0,1
15,10,2,4,74729.0,4000.0,14.05234407344681,-0.004844911561138199,-0.01118186449312275,203.0,0.0017919770626935172,0.008348578937875217,0.007362215872525502,0,2007-04-25 15:10:00,train,-1000.0,0
15,55,2,4,74729.0,4000.0,14.05234407344681,-0.004844911561138199,-0.01118186449312275,211.0,-0.0010718934231681576,0.001996774441287208,0.00813908564069532,0,2007-04-25 15:55:00,train,-3740.0,0
13,31,2,4,74729.0,4000.0,14.05234407344681,-0.004844911561138199,-0.01118186449312275,208.0,-0.0005408050269114506,0.0,0.002609212327882471,1,2007-04-25 13:31:00,train,4620.0,1
14,40,2,4,74729.0,4000.0,14.05234407344681,-0.004844911561138199,-0.01118186449312275,1044.0,0.004198650249858327,0.004509147127029101,0.004509147127029101,1,2007-04-25 14:40:00,train,-1860.0,0
17,46,2,4,74729.0,4000.0,14.05234407344681,-0.004844911561138199,-0.01118186449312275,11.0,0.0006103143118705301,0.0005085435313263442,0.004211009876732286,1,2007-04-25 17:46:00,train,-16410.0,0
17,59,3,4,67517.0,5200.0,13.581172516893352,0.014528219262770259,0.016649457924625688,101.0,-0.001513519060079016,-0.005671222378336949,-0.006787618974712251,0,2007-04-26 17:59:00,train,2440.0,1
15,55,2,4,74729.0,4000.0,14.05234407344681,-0.004844911561138199,-0.01118186449312275,211.0,-0.0010718934231681576,0.001996774441287208,0.00813908564069532,1,2007-04-25 15:55:00,train,-11790.0,0
17,59,4,4,64895.0,4185.0,12.734254758329781,-0.011730354195759851,0.0310182242000423,197.0,-0.0024551862509569755,-0.003034220732962223,-0.019564089257913864,0,2007-04-27 17:59:00,train,-9860.0,0
16,38,4,4,64895.0,4185.0,12.734254758329781,-0.011730354195759851,0.0310182242000423,42.0,-0.006450944324982499,-0.007248252653378251,-0.012641281120465475,0,2007-04-27 16:38:00,train,1760.0,1
15,53,4,4,64895.0,4185.0,12.734254758329781,-0.011730354195759851,0.0310182242000423,61.0,0.00025886616619197333,-0.004405967380381903,-0.004175042523581252,0,2007-04-27 15:53:00,train,13720.0,1
16,54,2,5,18248.0,3670.0,13.58889720853445,0.016249404541364587,-0.015637016149705252,53.0,-0.003547310613027821,-0.0022364301312916,-0.004933088428234034,0,2007-05-02 16:54:00,train,-1360.0,0
16,54,2,5,18248.0,3670.0,13.58889720853445,0.016249404541364587,-0.015637016149705252,53.0,-0.003547310613027821,-0.0022364301312916,-0.004933088428234034,0,2007-05-02 16:54:00,train,-10820.0,0
17,47,3,5,37699.0,3125.0,14.132414786290799,-0.005729166666666674,-0.01651168182169449,4.0,-0.0015068457561507875,-0.0025434066076666095,-0.000702028081123296,0,2007-05-03 17:47:00,train,-2940.0,0
17,59,5,4,73667.0,7050.0,13.177402695473763,-0.02921152018086992,-0.028112862985159137,280.0,-0.0007806401249024209,0.004157841060641765,0.003659174072137894,0,2007-04-28 17:59:00,train,-3800.0,0
15,17,5,4,73667.0,7050.0,13.177402695473763,-0.02921152018086992,-0.028112862985159137,72.0,-7.831875734243265e-05,0.0010977522216413238,0.0013594771241829395,0,2007-04-28 15:17:00,train,360.0,1
13,41,0,5,29143.0,1295.0,14.63895158037533,0.002261914047266167,-0.009583022891349602,43.0,0.0005444787264383688,-0.0006732960430909651,-0.0015523932729625267,1,2007-05-07 13:41:00,train,-18960.0,0
15,7,0,5,29143.0,1295.0,14.63895158037533,0.002261914047266167,-0.009583022891349602,49.0,-0.00020743660218847104,-0.0008292303705623727,-0.0015019680961259052,1,2007-05-07 15:07:00,train,-15920.0,0
13,30,3,5,37699.0,3125.0,14.132414786290799,-0.005729166666666674,-0.01651168182169449,2.0,-0.0009350649350648998,-0.0023343881309332293,0.0008847254748893807,0,2007-05-03 13:30:00,train,3220.0,1
13,41,0,5,29143.0,1295.0,14.63895158037533,0.002261914047266167,-0.009583022891349602,43.0,0.0005444787264383688,-0.0006732960430909651,-0.0015523932729625267,0,2007-05-07 13:41:00,train,8200.0,1
