entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction,pnl_1c,period
2010-09-30 16:02:00,2010-09-30 16:02:00,149205.0,149205.0,10,0.0,close_opposing,long,0.0,train
2010-09-30 14:32:00,2010-09-30 16:47:00,149200.0,150060.0,10,8600.0,signal_reverse,long,860.0,train
2010-09-29 13:59:00,2010-10-07 18:02:00,149075.0,157650.0,8,68600.0,signal_reverse,long,8575.0,train
2010-09-30 13:59:00,2010-10-07 22:17:00,149025.0,157350.0,6,49950.0,signal_reverse,long,8325.0,train
2010-09-30 17:02:00,2010-10-08 12:59:00,150375.0,155910.0,8,44280.0,signal_reverse,long,5535.0,train
2010-09-29 20:17:00,2010-10-08 13:59:00,149410.0,155960.0,8,52400.0,signal_reverse,long,6550.0,train
2010-09-30 17:32:00,2010-10-08 14:32:00,150480.0,155530.0,10,50500.0,signal_reverse,long,5050.0,train
2010-10-08 14:32:00,2010-10-08 16:02:00,155530.0,155915.0,4,-1540.0,signal_reverse,short,-385.0,train
2010-10-08 13:44:00,2010-10-11 12:59:00,155770.0,158350.0,4,-10320.0,close_opposing,short,-2580.0,train
2010-10-08 13:44:00,2010-10-11 16:02:00,155770.0,158790.0,4,-12080.0,close_opposing,short,-3020.0,train
2010-10-08 15:17:00,2010-10-11 16:02:00,155655.0,158790.0,4,-12540.0,signal_reverse,short,-3135.0,train
2010-10-08 16:02:00,2010-10-11 16:02:00,155915.0,158790.0,4,-11500.0,signal_reverse,short,-2875.0,train
2010-10-11 14:32:00,2010-10-11 16:02:00,158310.0,158790.0,4,-1920.0,close_opposing,short,-480.0,train
2010-10-11 18:02:00,2010-10-11 20:17:00,158690.0,158720.0,10,300.0,signal_reverse,long,30.0,train
2010-10-11 13:59:00,2010-10-12 12:59:00,158325.0,156135.0,6,-13140.0,close_opposing,long,-2190.0,train
2010-10-12 15:17:00,2010-10-12 18:17:00,156820.0,157175.0,4,-1420.0,close_opposing,short,-355.0,train
2010-10-12 16:02:00,2010-10-12 19:17:00,157210.0,157390.0,4,-720.0,close_opposing,short,-180.0,train
2010-10-12 13:44:00,2010-10-12 19:17:00,156625.0,157390.0,4,-3060.0,close_opposing,short,-765.0,train
2010-10-11 16:02:00,2010-10-13 12:59:00,158790.0,159135.0,4,-1380.0,close_opposing,short,-345.0,train
2010-10-13 17:32:00,2010-10-14 12:59:00,158385.0,159770.0,4,-5540.0,close_opposing,short,-1385.0,train
2010-10-12 20:17:00,2010-10-14 17:02:00,157415.0,158600.0,10,11850.0,signal_reverse,long,1185.0,train
2010-10-12 20:17:00,2010-10-14 17:02:00,157415.0,158600.0,10,11850.0,signal_reverse,long,1185.0,train
