tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c
180,120,275,270,30,155,360,640,0.9801408793856926,0.9078281726368088,13,1,0,none,long,-2.3171471927162366,659,-1527.0,0.4946889226100152,0.9741243454831986,176.33742331288343,-178.8272727272727,11230.0
180,120,135,85,50,115,400,620,0.9586204621764636,0.9905183830554517,11,1,0,none,long,-2.3186490455212923,681,-1579.0,0.4787077826725404,0.9599807380373074,116.18711656441718,-113.37931034482759,5982.0
180,90,235,185,45,175,460,650,0.9300384506054828,0.9004428807758703,29,1,1,none,long,-2.3276923076923075,650,-1513.0,0.48307692307692307,0.9634673427502113,127.07643312101911,-125.12084592145015,5673.0
240,90,75,230,90,130,360,470,1.0035065980569906,0.9710111153261832,5,1,0,none,long,-2.32943143812709,598,-1393.0,0.5217391304347826,0.9698569666544046,143.65384615384616,-162.7218309859155,8544.0
300,90,185,245,5,60,220,340,0.9060526701994276,0.9709107747361877,14,1,0,none,long,-2.3327239488117,547,-1276.0,0.4990859232175503,0.960188449658357,112.72893772893772,-118.26937269372694,6849.0
240,60,120,105,85,125,450,690,0.9110543331509381,0.9178863753220058,15,1,1,none,long,-2.385,800,-1908.0,0.4875,0.9596532036371326,116.36410256410257,-115.90686274509804,5682.0
150,90,250,295,95,165,150,290,0.9122276724349117,0.9356824066703082,12,1,1,none,long,-2.407859078590786,738,-1777.0,0.521680216802168,0.968328937049975,141.11948051948053,-160.76790830945558,7483.0
300,90,240,245,50,85,300,570,1.0125821963451456,0.9394362247629767,22,1,0,none,long,-2.411949685534591,318,-767.0,0.5062893081761006,0.9699404295344097,153.72049689440993,-162.52229299363057,6877.0
180,45,110,65,85,195,310,380,0.9824877039938862,0.9464215763945555,14,1,1,none,long,-2.427007299270073,822,-1995.0,0.48661800486618007,0.9537627181495817,102.88,-103.71875,6754.0
150,120,215,30,55,60,370,660,0.9993703461923864,0.9602373437927617,28,1,1,none,long,-2.456238361266294,537,-1319.0,0.48789571694599626,0.9597178108966529,119.94274809160305,-120.38235294117646,6077.0
300,90,25,100,45,80,450,660,0.9641428242119225,0.9090837296784439,11,1,1,none,long,-2.4621951219512197,820,-2019.0,0.46463414634146344,0.9615860271314142,132.6509186351706,-122.23023255813953,8114.0
180,45,270,120,80,85,230,450,0.9224220823250793,0.9119666852372085,24,1,0,none,long,-2.463225806451613,775,-1909.0,0.4916129032258065,0.9676276072579277,149.76640419947506,-151.2051282051282,11531.0
240,90,135,85,60,145,250,340,0.9975655522550336,0.9318033301794322,19,1,0,none,long,-2.464723926380368,652,-1607.0,0.5030674846625767,0.9547629771422137,103.40548780487805,-112.06309148264984,6345.0
180,120,195,245,70,65,280,620,0.9805317556601156,0.9616783859505046,27,1,0,none,long,-2.4844155844155846,770,-1913.0,0.4922077922077922,0.9710607527532373,169.3693931398417,-171.6987012987013,15750.0
300,120,70,270,45,180,430,530,1.0188770671963636,0.9670034187283884,24,1,0,none,long,-2.494219653179191,346,-863.0,0.476878612716763,0.9592212824268771,123.03030303030303,-119.56497175141243,4717.0
240,120,270,185,80,80,390,690,0.9370958187191197,0.9803623108996123,8,1,0,none,long,-2.5,714,-1785.0,0.49299719887955185,0.9618834080717489,127.96875,-130.44568245125348,7024.0
300,120,130,225,70,15,280,510,1.020946878382078,0.9731024005277307,7,1,1,none,long,-2.5,302,-755.0,0.47019867549668876,0.9708268933539412,176.93661971830986,-165.89743589743588,5850.0
180,90,275,175,75,100,460,540,0.9792316447820832,0.9740136488046416,17,1,0,none,long,-2.521669341894061,623,-1571.0,0.48635634028892455,0.93962800707094,80.6963696369637,-82.87261146496816,4033.0
300,120,40,275,70,105,180,310,0.9939943405779066,0.9186239069240582,8,1,0,none,long,-2.5377358490566038,636,-1614.0,0.5078616352201258,0.9623846368975483,127.84520123839009,-139.3116883116883,6616.0
150,120,65,85,10,65,420,630,0.9652317934108376,0.9605543063932905,13,1,1,none,long,-2.5378421900161032,621,-1576.0,0.4895330112721417,0.9571436340893023,115.78289473684211,-118.6258064516129,5134.0
150,90,55,220,95,105,390,540,0.9063272187147037,0.9619825064884168,5,1,1,none,long,-2.542817679558011,724,-1841.0,0.48756906077348067,0.9332971014492754,72.97167138810198,-75.61643835616438,4286.0
180,120,115,140,95,190,450,670,0.9196985639323807,0.9454482208963576,11,1,1,none,long,-2.5595913734392735,881,-2255.0,0.4790011350737798,0.9593268641102414,126.03554502369668,-122.38852097130243,6967.0
240,90,295,165,95,155,130,330,0.9358765654207645,0.9713147975687324,7,1,0,none,long,-2.5735694822888284,734,-1889.0,0.5177111716621253,0.966515403977736,143.48684210526315,-161.18285714285713,8426.0
120,90,95,130,100,185,440,590,0.9494367431746885,0.9146694935176398,17,1,0,none,long,-2.5810663764961914,919,-2372.0,0.4885745375408052,0.9513635431617797,103.33630289532294,-105.33477321814254,6901.0
180,120,85,50,65,65,400,680,0.9527944566924454,0.9077640319386551,21,1,0,none,long,-2.588235294117647,833,-2156.0,0.49939975990396157,0.957947297587236,118.06009615384616,-124.43932038834951,7700.0
240,120,135,260,50,100,180,280,1.0046940765365222,0.9983146559258381,18,1,1,none,long,-2.5953488372093023,430,-1116.0,0.5093023255813953,0.9541890726981651,106.14155251141553,-117.68599033816425,4098.0
240,120,255,260,60,40,280,660,0.9318631185896438,0.9881855269474841,13,1,1,none,long,-2.5963855421686746,664,-1724.0,0.49096385542168675,0.9707628124682021,175.58895705521473,-176.5449101796407,10205.0
120,45,290,120,65,195,140,270,0.9979775583986464,0.9066804926126749,29,1,1,none,long,-2.603886397608371,669,-1742.0,0.5291479820627802,0.9470532810552871,88.01977401129943,-106.13225806451612,6776.0
