phase,stage,experiment,ticker,timeframe,generator,seq_len,lr_g,lr_d,MAE,MAPE,DirAcc,PinballLoss,time_sec,notes
A,4,A4_lw_a1_l04_c02_q1,SBER,H1,lstm,12,2e-3,2e-4,0.0188,,0.477,0.0048,306,q=1.0 HURTS DirAcc on H1.
A,4,A4_lw_a1_l1_c02_q03,SBER,H1,lstm,12,2e-3,2e-4,0.0143,,0.510,0.0050,318,More L1.
A,4,A4_lw_a05_l04_c05_q03,SBER,H1,lstm,12,2e-3,2e-4,0.0144,,0.506,0.0049,322,More cls.
A,4,A4_lw_a03_l08_c01_q05,SBER,H1,lstm,12,2e-3,2e-4,0.0141,,0.499,0.0050,309,Min adv. Near 50% DirAcc.
A,4,A4_lw_a2_l02_c01_q01,SBER,H1,lstm,12,2e-3,2e-4,0.0390,,0.516,0.0074,290,Max adv. Best DirAcc 51.6% but worst MAE.
A,5,A5_wf_split1,SBER,H1,lstm,12,2e-3,2e-4,0.0675,,0.532,0.0119,,Walk-forward split 1. DirAcc 53.2%.
A,5,A5_wf_split2,SBER,H1,lstm,12,2e-3,2e-4,0.0241,,0.472,0.0114,,Walk-forward split 2. DirAcc 47.2%.
A,5,A5_wf_split3,SBER,H1,lstm,12,2e-3,2e-4,0.0590,,0.496,0.0118,,Walk-forward split 3. DirAcc 49.6%.
A,5,A5_wf_split4,SBER,H1,lstm,12,2e-3,2e-4,0.1246,,0.516,0.0077,,Walk-forward split 4. DirAcc 51.6%.
A,5,A5_wf_split5,SBER,H1,lstm,12,2e-3,2e-4,0.0649,,0.504,0.0061,,Walk-forward split 5. DirAcc 50.4%.
A,5,A5_wf_avg,SBER,H1,lstm,12,2e-3,2e-4,0.0680,,0.504,0.0098,,Walk-forward AVERAGE. DirAcc 50.4% (PASS). Spread 6.0%.
A,6,A6_naive,SBER,H1,,,,0.0026,,,,,Benchmark: Naive (delta=0). MAE=0.0026.
A,6,A6_random_walk,SBER,H1,,,,0.0043,,0.512,,,Benchmark: Random Walk. DirAcc 51.2%.
A,6,A6_sma21,SBER,H1,,,,0.0027,,0.500,,,Benchmark: SMA(21). DirAcc 50.0%.
A,6,A6_mean_revert,SBER,H1,,,,0.0038,,0.523,,,Benchmark: Mean Reversion. DirAcc 52.3%.
A,6,A6_gan_lstm,SBER,H1,lstm,12,2e-3,2e-4,0.0181,,0.484,,,GAN DirAcc 48.4% < MeanReversion 52.3%. FAIL.
A,7,A7_GAZP,GAZP,H1,lstm,12,2e-3,2e-4,0.1785,,0.470,0.0052,386,Multi-ticker. DirAcc < 50%.
A,7,A7_LKOH,LKOH,H1,lstm,12,2e-3,2e-4,0.0387,,0.469,0.0052,400,Multi-ticker. DirAcc < 50%.
A,7,A7_RTSF,RTSF,H1,lstm,12,2e-3,2e-4,0.2738,,0.472,,541,Multi-ticker. DirAcc < 50%. 0/3 pass.
