entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason
2009-10-23 13:29:00,2009-10-23 14:32:00,146310.0,145635.0,10,-6750.0,signal_reverse
2009-10-26 13:29:00,2009-10-26 14:32:00,146315.0,146025.0,12,-3480.0,signal_reverse
2009-11-11 13:29:00,2009-11-13 13:29:00,144185.0,140300.0,12,-46620.0,signal_reverse
2009-11-16 13:29:00,2009-11-17 13:29:00,145635.0,146845.0,12,14520.0,signal_reverse
2009-12-18 13:29:00,2009-12-21 13:29:00,143150.0,142070.0,12,-12960.0,signal_reverse
2009-12-28 13:29:00,2009-12-29 13:29:00,146600.0,145235.0,29,-39585.0,signal_reverse
2010-01-11 13:29:00,2010-01-12 21:57:00,157435.0,152800.0,18,-83430.0,stop_loss
2010-01-13 13:29:00,2010-01-18 13:29:00,154290.0,156650.0,18,42480.0,signal_reverse
2010-01-20 13:29:00,2010-01-21 12:29:00,159210.0,154200.0,16,-80160.0,stop_loss
2010-03-01 13:29:00,2010-03-09 11:29:00,143045.0,151160.0,25,202875.0,expiration
2010-03-18 13:29:00,2010-03-19 13:29:00,155890.0,153500.0,20,-47800.0,signal_reverse
2010-03-29 14:32:00,2010-04-06 13:29:00,153750.0,161895.0,17,138465.0,signal_reverse
2010-04-12 13:29:00,2010-04-12 14:32:00,162495.0,161475.0,21,-21420.0,signal_reverse
2010-04-14 13:29:00,2010-04-16 13:29:00,162835.0,164075.0,23,28520.0,signal_reverse
2010-06-03 12:59:00,2010-06-04 12:59:00,141405.0,141870.0,11,5115.0,signal_reverse
2010-06-18 12:59:00,2010-06-18 13:59:00,139780.0,138760.0,11,-11220.0,signal_reverse
2010-06-21 12:59:00,2010-06-22 13:59:00,144505.0,142620.0,13,-24505.0,signal_reverse
2010-07-13 13:59:00,2010-07-15 12:59:00,140530.0,142770.0,16,35840.0,signal_reverse
2010-07-22 13:59:00,2010-07-30 12:59:00,143170.0,148230.0,17,86020.0,signal_reverse
2010-08-30 13:59:00,2010-08-31 12:59:00,142290.0,139830.0,22,-54120.0,signal_reverse
2010-09-03 12:59:00,2010-09-07 12:59:00,145320.0,145460.0,22,3080.0,signal_reverse
2010-10-01 12:59:00,2010-10-06 12:59:00,151225.0,158470.0,27,195615.0,signal_reverse
2010-10-25 12:59:00,2010-10-26 12:59:00,163130.0,161155.0,17,-33575.0,signal_reverse
2010-11-08 12:59:00,2010-11-10 13:59:00,164275.0,164785.0,22,11220.0,signal_reverse
2010-12-02 12:59:00,2010-12-08 10:59:00,166090.0,172095.0,17,102085.0,expiration
2011-01-12 12:59:00,2011-01-19 12:59:00,184500.0,190500.0,29,174000.0,signal_reverse
2011-01-27 13:59:00,2011-01-28 12:59:00,189595.0,189790.0,15,2925.0,signal_reverse
2011-02-02 12:59:00,2011-02-04 12:59:00,192925.0,191350.0,18,-28350.0,signal_reverse
2011-02-25 12:59:00,2011-03-04 12:59:00,189370.0,200635.0,15,168975.0,signal_reverse
2011-03-25 12:59:00,2011-03-29 12:59:00,198645.0,198335.0,15,-4650.0,signal_reverse
2011-05-30 12:59:00,2011-06-02 12:59:00,185780.0,185110.0,16,-10720.0,signal_reverse
2011-06-30 12:59:00,2011-07-06 12:59:00,188180.0,192510.0,17,73610.0,signal_reverse
2011-07-22 12:59:00,2011-07-28 12:59:00,197220.0,197350.0,15,1950.0,signal_reverse
2011-08-25 12:59:00,2011-08-25 13:59:00,160845.0,158605.0,8,-17920.0,signal_reverse
2011-08-29 12:59:00,2011-08-30 12:59:00,163195.0,163765.0,8,4560.0,signal_reverse
2011-08-31 12:59:00,2011-09-01 12:59:00,167595.0,165050.0,13,-33085.0,signal_reverse
2011-09-01 13:59:00,2011-09-02 12:59:00,165460.0,166150.0,12,8280.0,signal_reverse
2011-10-10 12:59:00,2011-10-17 13:59:00,131960.0,143865.0,9,107145.0,signal_reverse
2011-10-24 12:59:00,2011-10-31 12:59:00,146510.0,157865.0,10,113550.0,signal_reverse
2011-11-08 12:59:00,2011-11-09 13:59:00,157500.0,153165.0,9,-39015.0,signal_reverse
2011-12-01 12:59:00,2011-12-06 12:59:00,154445.0,154215.0,11,-2530.0,signal_reverse
2012-01-03 12:59:00,2012-01-06 13:59:00,140595.0,141195.0,17,10200.0,signal_reverse
2012-01-10 12:59:00,2012-01-11 12:59:00,144625.0,145535.0,17,15470.0,signal_reverse
2012-01-18 13:59:00,2012-01-23 12:59:00,147815.0,149005.0,18,21420.0,signal_reverse
2012-02-20 12:59:00,2012-02-21 12:59:00,167270.0,165900.0,21,-28770.0,signal_reverse
2012-02-27 12:59:00,2012-03-01 12:59:00,171975.0,171045.0,13,-12090.0,signal_reverse
2012-03-27 12:59:00,2012-03-27 13:59:00,167310.0,165820.0,17,-25330.0,signal_reverse
2012-05-02 12:59:00,2012-05-02 13:59:00,156330.0,155585.0,30,-22350.0,signal_reverse
2012-06-07 12:59:00,2012-06-08 10:59:00,127515.0,127900.0,17,6545.0,expiration
2012-06-29 12:59:00,2012-07-06 12:59:00,130955.0,137015.0,17,103020.0,signal_reverse
2012-07-17 12:59:00,2012-07-18 12:59:00,138735.0,139150.0,27,11205.0,signal_reverse
2012-07-19 12:59:00,2012-07-20 12:59:00,140620.0,139615.0,23,-23115.0,signal_reverse
