period,entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,pnl_1c
train,2011-08-03 16:47:00,2011-08-08 16:47:00,192110.0,170530.0,15,323700.0,signal_reverse,21580.0
train,2011-08-18 17:32:00,2011-08-22 16:46:00,158095.0,157725.0,9,3330.0,signal_reverse,370.0
train,2011-08-22 19:16:00,2011-08-23 16:46:00,155245.0,156400.0,10,-11550.0,signal_reverse,-1155.0
train,2011-09-02 19:17:00,2011-09-02 20:02:00,164425.0,164285.0,16,2240.0,signal_reverse,140.0
train,2011-09-05 16:47:00,2011-09-06 19:17:00,161415.0,160140.0,16,20400.0,signal_reverse,1275.0
train,2011-09-19 16:46:00,2011-09-23 21:32:00,151475.0,129515.0,12,263520.0,signal_reverse,21960.0
train,2011-09-30 16:47:00,2011-09-30 18:17:00,130630.0,130930.0,10,-3000.0,signal_reverse,-300.0
train,2011-10-03 16:47:00,2011-10-06 16:46:00,127915.0,125540.0,10,23750.0,signal_reverse,2375.0
train,2011-11-11 18:17:00,2011-11-11 19:17:00,152670.0,152700.0,10,-300.0,signal_reverse,-30.0
train,2011-11-15 16:47:00,2011-11-15 17:32:00,149585.0,150635.0,10,-10500.0,signal_reverse,-1050.0
train,2011-11-16 19:27:00,2011-11-16 20:12:00,150920.0,152015.0,10,-10950.0,signal_reverse,-1095.0
train,2011-11-17 16:46:00,2011-11-17 18:16:00,148155.0,151760.0,10,-36050.0,signal_reverse,-3605.0
train,2011-11-18 16:47:00,2011-11-24 16:47:00,150255.0,140280.0,11,109725.0,signal_reverse,9975.0
train,2011-12-06 16:47:00,2011-12-08 10:44:00,150070.0,148145.0,14,26950.0,expiration,1925.0
train,2011-12-22 17:32:00,2011-12-22 19:17:00,136700.0,137885.0,19,-22515.0,signal_reverse,-1185.0
train,2011-12-27 17:32:00,2011-12-27 19:17:00,137840.0,138600.0,35,-26600.0,signal_reverse,-760.0
train,2011-12-28 16:47:00,2011-12-30 16:47:00,137135.0,136240.0,29,25955.0,signal_reverse,895.0
train,2012-02-22 20:02:00,2012-02-24 16:47:00,163340.0,171940.0,21,-180600.0,signal_reverse,-8600.0
train,2012-03-06 19:17:00,2012-03-07 16:47:00,165090.0,166350.0,15,-18900.0,signal_reverse,-1260.0
train,2012-03-19 16:47:00,2012-03-23 19:17:00,166300.0,162450.0,17,65450.0,signal_reverse,3850.0
train,2012-03-28 18:17:00,2012-03-30 18:17:00,160050.0,159235.0,17,13855.0,signal_reverse,815.0
train,2012-03-30 19:17:00,2012-03-30 20:47:00,159595.0,159660.0,15,-975.0,signal_reverse,-65.0
train,2012-04-02 16:47:00,2012-04-02 19:17:00,159135.0,160195.0,15,-15900.0,signal_reverse,-1060.0
train,2012-04-05 16:47:00,2012-04-05 19:17:00,158005.0,160110.0,17,-35785.0,signal_reverse,-2105.0
train,2012-04-06 16:47:00,2012-04-10 16:47:00,157135.0,157190.0,21,-1155.0,signal_reverse,-55.0
train,2012-04-10 19:17:00,2012-04-11 16:47:00,154545.0,157355.0,15,-42150.0,signal_reverse,-2810.0
train,2012-04-16 18:17:00,2012-04-16 19:27:00,153595.0,154010.0,16,-6640.0,signal_reverse,-415.0
train,2012-04-17 16:47:00,2012-04-19 16:47:00,153370.0,156475.0,16,-49680.0,signal_reverse,-3105.0
train,2012-04-23 16:47:00,2012-04-27 16:47:00,153315.0,154225.0,25,-22750.0,signal_reverse,-910.0
train,2012-05-02 16:47:00,2012-05-08 17:17:00,153885.0,142895.0,31,340690.0,signal_reverse,10990.0
train,2012-05-14 16:47:00,2012-05-21 16:47:00,140215.0,130275.0,26,258440.0,signal_reverse,9940.0
train,2012-05-25 19:17:00,2012-05-25 20:02:00,126995.0,126750.0,16,3920.0,signal_reverse,245.0
train,2012-05-30 20:02:00,2012-05-30 20:47:00,126540.0,126890.0,15,-5250.0,signal_reverse,-350.0
train,2012-05-31 16:47:00,2012-06-05 16:47:00,124705.0,123835.0,18,15660.0,signal_reverse,870.0
train,2012-06-28 19:17:00,2012-06-28 20:02:00,127265.0,127600.0,20,-6700.0,signal_reverse,-335.0
train,2012-07-06 21:32:00,2012-07-09 19:17:00,135235.0,134855.0,22,8360.0,signal_reverse,380.0
train,2012-07-23 16:47:00,2012-07-26 16:47:00,132015.0,134505.0,22,-54780.0,signal_reverse,-2490.0
train,2012-08-02 19:17:00,2012-08-03 16:47:00,134000.0,137025.0,14,-42350.0,signal_reverse,-3025.0
train,2012-08-27 16:47:00,2012-08-27 19:17:00,143460.0,143415.0,26,1170.0,signal_reverse,45.0
train,2012-08-28 16:47:00,2012-09-03 16:47:00,141800.0,139800.0,23,46000.0,signal_reverse,2000.0
train,2012-09-26 19:17:00,2012-09-27 16:47:00,145400.0,146870.0,20,-29400.0,signal_reverse,-1470.0
train,2012-10-04 19:17:00,2012-10-04 20:02:00,147100.0,147520.0,18,-7560.0,signal_reverse,-420.0
train,2012-10-08 16:47:00,2012-10-09 16:47:00,148280.0,149740.0,24,-35040.0,signal_reverse,-1460.0
train,2012-10-09 19:17:00,2012-10-10 16:47:00,147580.0,148000.0,23,-9660.0,signal_reverse,-420.0
train,2012-10-10 19:17:00,2012-10-11 16:47:00,147640.0,148510.0,34,-29580.0,signal_reverse,-870.0
train,2012-10-11 19:17:00,2012-10-15 16:47:00,147880.0,147150.0,27,19710.0,signal_reverse,730.0
train,2012-10-22 21:32:00,2012-10-30 16:47:00,148300.0,142330.0,23,137310.0,signal_reverse,5970.0
train,2012-11-07 19:17:00,2012-11-14 16:47:00,141930.0,135470.0,25,161500.0,signal_reverse,6460.0
train,2012-11-26 19:17:00,2012-11-26 21:32:00,142530.0,142920.0,35,-13650.0,signal_reverse,-390.0
train,2012-11-28 19:17:00,2012-11-29 16:47:00,139170.0,142270.0,28,-86800.0,signal_reverse,-3100.0
