tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
150,50,70,265,90,150,220,420,0.9781676125019888,1.0024774598598967,26,0,1,299.5673076923077,312,93465.0,0.33974358974358976,1.2635415198082616,4227.5,-1721.6019417475727
165,45,105,310,60,190,160,410,0.965079016307651,1.0117469360573925,28,0,1,299.5189504373178,343,102735.0,0.3294460641399417,1.3292999551253286,3670.0442477876104,-1362.35807860262
180,60,110,270,95,160,190,520,0.9483348317224518,0.9835486537264492,24,0,1,299.4871794871795,312,93440.0,0.40064102564102566,1.2620266120777892,3600.36,-1906.9786096256685
150,55,65,295,75,160,150,290,0.9467124066004875,0.9907088535189866,28,0,1,299.48504983388705,301,90145.0,0.38205980066445183,1.232350439466969,4157.521739130435,-2097.135135135135
195,45,120,290,100,160,230,460,0.9487769384309357,0.9969825245380938,26,0,1,299.48328267477206,329,98530.0,0.364741641337386,1.2759480199406261,3796.5833333333335,-1716.6346153846155
210,55,115,280,80,175,220,520,0.9391118900266431,1.0167807590161515,20,0,1,299.47712418300654,306,91640.0,0.2875816993464052,1.3347641052804617,4152.102272727273,-1267.337962962963
180,50,75,315,60,175,140,450,0.9499867637445039,1.0102117298957727,28,0,1,299.45868945868943,351,105110.0,0.30484330484330485,1.3327792816323947,3934.2523364485983,-1299.8148148148148
165,75,75,285,65,150,140,550,0.9411599857911914,1.014018045264701,25,0,1,299.42367601246104,321,96115.0,0.2897196261682243,1.333050348244915,4136.612903225807,-1276.9469026548672
150,55,60,275,75,185,150,510,0.9662141347842046,1.013750796284045,21,0,1,299.4230769230769,312,93420.0,0.2948717948717949,1.327341532639546,4117.5,-1303.150684931507
150,45,115,250,85,200,200,400,0.9616429680240294,1.0060829306791237,22,0,1,299.3949044585987,314,94010.0,0.3471337579617834,1.2836881572792975,3902.706422018349,-1616.5121951219512
180,45,110,305,100,190,210,550,0.9764703554906577,0.9925975509106365,29,0,1,299.31398416886543,379,113440.0,0.35883905013192613,1.302987406685274,3587.095588235294,-1547.1280991735537
195,50,110,280,95,200,140,490,0.9630432071032021,0.986790134980967,21,0,1,299.2274052478134,343,102635.0,0.35276967930029157,1.2698435651373734,3991.6115702479337,-1713.2882882882882
210,55,80,290,90,205,180,410,0.9414319115636423,0.9920521482543002,23,0,1,299.21725239616615,313,93655.0,0.3961661341853035,1.2445970827511459,3843.1451612903224,-2025.899470899471
165,55,95,255,100,150,190,510,0.9685615142079189,1.0139485026818122,20,0,1,299.1639871382637,311,93040.0,0.3183279742765273,1.3278827177896815,3806.060606060606,-1338.4905660377358
210,55,105,265,90,170,150,590,0.9665076218982397,1.00345235475383,23,0,1,299.04,375,112140.0,0.296,1.3333779264214047,4040.675675675676,-1278.9923954372623
150,60,90,320,80,205,170,510,0.9789847135785558,1.0162469016377655,26,0,1,299.0228013029316,307,91800.0,0.2899022801302932,1.3403151065801668,4062.3595505617977,-1237.3853211009175
195,55,65,285,85,165,170,460,0.9860657395579686,0.9803987601096028,23,0,1,298.87147335423197,319,95340.0,0.3730407523510972,1.269920586611554,3769.36974789916,-1766.075
195,45,65,255,65,205,230,550,0.9476380614201124,1.0096656342654782,28,0,1,298.7916666666667,360,107565.0,0.29444444444444445,1.334515090730979,4048.301886792453,-1270.9683794466403
150,50,110,260,80,210,220,420,0.9861655771269171,0.9882442221571123,30,0,1,298.69426751592357,314,93790.0,0.3503184713375796,1.2622286217549943,4104.136363636364,-1753.2598039215686
180,55,65,270,65,165,220,420,0.9562322867372952,0.9963570259180833,23,0,1,298.68501529051986,327,97670.0,0.363914373088685,1.2559519909852068,4027.436974789916,-1843.4541062801932
195,50,80,265,75,185,180,480,0.9836331216854446,0.9922117716097665,26,0,1,298.56948228882834,367,109575.0,0.37057220708446864,1.2875531412376005,3607.610294117647,-1649.6103896103896
165,70,100,305,70,165,200,580,0.9925372473795747,1.0051558112991412,30,0,1,298.54632587859425,313,93445.0,0.329073482428115,1.283209577208668,4110.631067961165,-1571.1904761904761
165,45,85,285,75,175,210,410,0.9839470376124222,1.0013547832443153,23,0,1,298.4375,320,95500.0,0.3375,1.2707491671982423,4150.231481481482,-1671.6824644549763
210,50,105,260,90,170,180,410,0.9884522573394494,0.9837860933917281,20,0,1,298.36092715231786,302,90105.0,0.3576158940397351,1.241413031829386,4290.231481481482,-1923.9175257731958
180,55,90,270,95,155,230,540,0.9470177473468101,1.0027030247468158,21,0,1,298.3521126760563,355,105915.0,0.323943661971831,1.2890535451121663,4107.260869565217,-1526.75
195,50,80,245,70,185,140,580,0.9522732512460057,1.0209421767652924,28,0,1,298.3184523809524,336,100235.0,0.29464285714285715,1.3988579614412766,3550.909090909091,-1064.8516949152543
165,55,110,305,100,160,170,590,0.9685156959838181,1.0135657166392529,30,0,1,298.24242424242425,330,98420.0,0.29393939393939394,1.3478721900183797,3931.340206185567,-1219.4827586206898
150,70,65,295,95,165,180,590,0.9899553120922795,0.9809070328556353,21,0,1,298.21656050955414,314,93640.0,0.3375796178343949,1.2812476535163466,4024.3867924528304,-1600.6971153846155
150,60,95,250,80,205,160,570,0.9773334888142587,0.9990942847839709,24,0,1,298.1805929919137,371,110625.0,0.32345013477088946,1.2997033444861357,3997.8333333333335,-1470.5776892430279
210,60,100,275,90,190,230,570,0.9858020238756476,0.9964078689682444,23,0,1,298.1803278688525,305,90945.0,0.32459016393442625,1.2679186920017675,4347.424242424242,-1647.8155339805826
150,55,75,325,65,160,230,460,0.9717520398306494,0.9952504908987748,26,0,1,298.0345911949685,318,94775.0,0.3710691823899371,1.2797620804675738,3674.1101694915255,-1702.3618090452262
150,70,95,275,100,185,190,580,0.972777496776182,0.996505829952922,30,0,1,298.0293159609121,307,91495.0,0.30618892508143325,1.26541831051288,4640.585106382979,-1626.0377358490566
150,45,115,305,105,205,150,370,0.9785420927887895,0.9879650508315384,20,0,1,298.0,300,89400.0,0.37333333333333335,1.250052443885043,3990.401785714286,-1911.8983957219252
180,45,85,290,105,150,230,580,0.9800176670740124,1.0022674400267675,23,0,1,297.94776119402985,402,119775.0,0.32587064676616917,1.3495345376017742,3530.114503816794,-1269.148148148148
165,50,80,295,95,160,150,500,0.9749458651160005,1.0102042419973414,30,0,1,297.8299120234604,341,101560.0,0.2991202346041056,1.3523085995767856,3821.8627450980393,-1206.1506276150628
165,60,115,265,90,205,220,580,0.9958893385749888,1.0131703003864392,29,0,1,297.77070063694265,314,93500.0,0.2961783439490446,1.3420335448941891,3944.7849462365593,-1236.945701357466
165,45,115,255,100,185,180,590,0.9472805727934825,1.0064755078460534,28,0,1,297.65625,416,123825.0,0.3125,1.3761448381658288,3484.769230769231,-1155.0701754385964
150,60,80,265,90,195,180,480,0.9471071014885634,0.992488203596974,20,0,1,297.6488095238095,336,100010.0,0.3392857142857143,1.257343197169508,4286.271929824561,-1750.563063063063
195,60,75,245,80,185,180,580,0.9900414481641597,1.0193020433871012,20,0,1,297.48366013071893,306,91030.0,0.28431372549019607,1.342115153337342,4104.712643678161,-1226.1751152073732
195,55,60,280,75,175,220,580,0.9987169774871044,1.0010517083042552,26,0,1,297.4633431085044,341,101435.0,0.3284457478005865,1.310018643601577,3827.0089285714284,-1435.0438596491229
210,70,60,245,105,180,170,580,0.9627616325478972,0.9840088791350203,25,0,1,297.4237804878049,328,97555.0,0.35365853658536583,1.2786171245787399,3859.439655172414,-1651.6037735849056
165,60,90,280,65,160,170,570,0.9547257999849459,0.9812957068463445,25,0,1,297.363184079602,402,119540.0,0.35323383084577115,1.3244930644154294,3436.1267605633802,-1427.8682170542636
165,60,110,280,95,155,230,570,0.9457393350308629,0.9921557417414394,30,0,1,297.2798742138365,318,94535.0,0.3805031446540881,1.2602656755454609,3783.1404958677685,-1853.188775510204
210,55,75,245,75,200,190,510,0.9522482660404757,0.9925971974285963,24,0,1,297.2612359550562,356,105825.0,0.3342696629213483,1.2629094567904302,4271.764705882353,-1698.3755274261603
180,55,110,280,70,155,170,470,0.9987150873516756,0.9870806775728591,25,0,1,297.24919093851133,309,91850.0,0.3592233009708738,1.2951762702059968,3630.810810810811,-1571.5656565656566
180,55,115,275,75,155,150,410,0.959653019449875,1.009891576779723,28,0,1,297.2044728434505,313,93025.0,0.33226837060702874,1.3014468802151689,3861.730769230769,-1476.531100478469
150,55,65,280,110,185,160,550,0.9695436291475616,0.9931428899748538,20,0,1,297.2043010752688,372,110560.0,0.3629032258064516,1.3015121971174168,3535.1481481481483,-1560.3617021276596
150,45,85,265,95,205,170,410,0.9486858336656122,1.001192450942102,29,0,1,297.0857142857143,350,103980.0,0.32571428571428573,1.2707283733645773,4281.184210526316,-1634.3617021276596
150,55,90,320,70,160,160,550,0.9938671137784053,0.9995059379235312,21,0,1,297.00280112044817,357,106030.0,0.3473389355742297,1.3211424590734935,3517.701612903226,-1429.2857142857142
165,45,90,300,105,200,200,460,0.9390109259498487,1.0100292503696782,28,0,1,297.0,330,98010.0,0.30303030303030304,1.3154337576235458,4087.25,-1350.9347826086957
165,55,95,315,70,200,150,480,0.9663397758646841,1.0154421350243235,25,0,1,296.95652173913044,322,95620.0,0.3105590062111801,1.3585503496634606,3623.05,-1201.2837837837837
210,55,105,295,75,170,180,530,0.967366003795355,0.9979398294578569,24,0,1,296.9427710843373,332,98585.0,0.3313253012048193,1.2887203291795406,4000.3636363636365,-1559.1552511415525
210,50,60,270,85,160,170,590,0.9938640084850691,1.0186034706639915,22,0,1,296.93548387096774,310,92050.0,0.3225806451612903,1.365002577421785,3442.4,-1206.6507177033493
180,70,90,315,60,185,180,540,0.9577967991044064,0.9903340668406934,30,0,1,296.83976261127594,337,100035.0,0.33827893175074186,1.288751298926221,3916.4473684210525,-1553.542600896861
150,50,110,250,85,175,170,530,0.9433423489663791,0.9983018331671325,28,0,1,296.83646112600536,373,110720.0,0.3351206434316354,1.2964668710588676,3873.48,-1518.1504065040651
210,45,85,265,80,160,140,350,0.9734167165258338,0.994727937331072,26,0,1,296.78688524590166,305,90520.0,0.36065573770491804,1.233250876108019,4350.909090909091,-2000.4123711340205
165,70,65,285,70,175,160,560,0.9948667273142254,0.9858805516651683,21,0,1,296.7100977198697,307,91090.0,0.3745928338762215,1.2548435379859275,3900.217391304348,-1861.640625
180,55,105,245,85,170,140,560,0.9502607492645466,0.9888552708004722,21,0,1,296.70798898071627,363,107705.0,0.3581267217630854,1.2786711341673243,3801.5384615384614,-1665.926724137931
195,45,65,285,100,195,210,460,0.9474649308527884,1.003301303684063,28,0,1,296.647564469914,349,103530.0,0.332378223495702,1.2872601656469804,3999.439655172414,-1546.8025751072962
210,50,65,300,75,170,150,440,0.9777268201184907,0.9958703779701853,20,0,1,296.60427807486633,374,110930.0,0.39037433155080214,1.29699338705791,3318.082191780822,-1638.201754385965
210,60,90,300,80,170,190,580,0.9420481471600382,0.9965319504143126,30,0,1,296.5497076023392,342,101420.0,0.32748538011695905,1.2789098809229162,4152.232142857143,-1581.0
150,45,85,305,70,160,150,280,0.9482873116205215,0.9946243522123714,26,0,1,296.50621118012424,322,95475.0,0.36645962732919257,1.239297709158354,4190.296610169492,-1955.7843137254902
180,60,80,320,90,175,160,520,0.9534785280401978,0.989764255419407,27,0,1,296.48571428571427,350,103770.0,0.32285714285714284,1.2765724946695096,4238.672566371682,-1583.1223628691982
150,60,110,255,80,165,160,570,0.9916014272074289,1.0048809863470543,27,0,1,296.4835164835165,364,107920.0,0.32142857142857145,1.329959947411869,3717.863247863248,-1324.17004048583
165,55,70,265,65,180,220,510,0.9966190690232682,0.9921811181708137,29,0,1,296.46604938271605,324,96055.0,0.3611111111111111,1.267991909046523,3884.4444444444443,-1731.5217391304348
165,60,80,265,100,180,140,550,0.9632118628497263,0.9943352941423004,29,0,1,296.3496932515337,326,96610.0,0.36503067484662577,1.2628092653799594,3900.9663865546217,-1775.8695652173913
150,45,110,310,75,180,200,530,0.9549145263062108,1.003636573822944,30,0,1,296.3476070528967,397,117650.0,0.34005037783375314,1.3331775767101368,3487.1481481481483,-1358.1346153846155
165,55,65,275,65,150,180,520,0.9893477040066562,1.0126050232580186,30,0,1,296.3023952095808,334,98965.0,0.30538922155688625,1.3445196776383352,3786.470588235294,-1238.1681034482758
180,60,115,285,80,185,150,550,0.953037143194866,1.0072394728176732,21,0,1,296.2874251497006,334,98960.0,0.30538922155688625,1.3061312875085072,4139.411764705882,-1393.3620689655172
