tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,time_bars,time_target,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c,be_target,be_offset,trail_pts,trail_atr,sl_atr_mult,sl_pts
300,90,190,270,60,155,250,540,0.9227955177298265,1.0046577835547974,23,1,0,breakeven,,,short,130.53731343283582,670,87460.0,0.5208955223880597,1.2426950079085384,1283.1805157593124,-1129.6865203761756,37470.0,2500.0,500.0,,,,
210,120,270,20,15,195,150,360,1.0040098623988176,1.03368438326627,29,1,0,time,7.0,0.0,short,130.47619047619048,336,43840.0,0.5089285714285714,1.2329498658306544,1356.9298245614036,-1154.5705521472394,31605.0,,,,,,
240,90,210,235,95,200,150,530,1.0044304998615567,0.9845225645726492,21,1,1,trail_pts,,,short,130.31400966183574,828,107900.0,0.4915458937198068,1.2102821951980043,1525.847665847666,-1221.7142857142858,21755.0,,,2000.0,,,
120,90,85,195,40,65,430,510,0.9986862531006095,0.9273926605083275,26,0,0,atr,,,short,130.23890784982936,293,38160.0,0.1945392491467577,1.1368821292775666,5560.350877192983,-1181.2711864406779,44790.0,,,,,0.68,
300,45,180,295,10,40,150,600,1.0122167823868429,0.9717258234828908,17,1,1,breakeven,,,short,130.17123287671234,730,95025.0,0.4397260273972603,1.2350591203680799,1555.404984423676,-993.2678132678133,21660.0,2500.0,0.0,,,,
210,90,245,270,85,145,170,560,1.0227097943876429,1.0488572214402234,28,1,1,atr,,,short,130.07122507122506,351,45655.0,0.4472934472934473,1.1498211531519706,2231.751592356688,-1570.7731958762886,32555.0,,,,,2.68,
120,45,175,160,65,35,180,500,0.9971084817710275,0.9623198109751114,10,0,0,trail_atr,,,short,130.05050505050505,396,51500.0,0.37626262626262624,1.1645709172831418,2445.8724832214766,-1266.9433198380566,61605.0,,,,4.59,,
300,45,285,165,95,150,340,580,0.9606096978764395,0.9033020208362729,9,0,0,atr,,,short,130.0,340,44200.0,0.36470588235294116,1.1223309300748654,3270.282258064516,-1672.7546296296296,50595.0,,,,,2.72,
180,120,90,255,65,150,230,370,1.003381194954389,0.9139629910514623,23,1,0,trail_atr,,,short,129.98609179415854,719,93460.0,0.5104311543810849,1.2357689736506856,1334.7820163487738,-1126.1505681818182,33555.0,,,,1.89,,
210,45,45,260,15,180,340,580,1.00766031134399,0.9382562832316512,16,0,1,none,,,short,129.9164677804296,419,54435.0,0.360381861575179,1.1359923053862295,3011.3576158940396,-1504.812030075188,36510.0,,,,,,
210,60,205,110,20,140,160,340,0.9057176453771809,1.0050791559663328,14,0,1,time,24.0,600.0,short,129.906015037594,266,34555.0,0.40601503759398494,1.149624369438611,2458.3333333333335,-1480.4166666666667,51480.0,,,,,,
150,60,110,140,10,15,360,510,0.9934438237534373,0.9885101698740251,28,0,0,atr,,,short,129.8421926910299,602,78165.0,0.33554817275747506,1.1798198695607163,2538.861386138614,-1094.9244332493702,40120.0,,,,,0.98,
210,60,215,235,5,115,170,610,0.9419809985453822,1.0167944364342911,6,1,1,breakeven,,,short,129.8118811881188,505,65555.0,0.4277227722772277,1.2296307972537481,1625.162037037037,-998.1818181818181,25165.0,2000.0,500.0,,,,
120,60,130,185,35,65,110,610,1.0009057144203988,0.9492094087721927,14,1,0,time,12.0,1800.0,short,129.68879668049792,964,125020.0,0.4553941908713693,1.2305110996386164,1520.2277904328018,-1033.0666666666666,32185.0,,,,,,
240,60,245,85,45,140,320,440,0.939757158225951,1.000012666450385,26,1,1,breakeven,,,short,129.63452566096424,643,83355.0,0.4976671850699845,1.3164398382780025,1083.65625,-823.171875,18740.0,1000.0,0.0,,,,
300,120,200,280,30,135,240,420,1.084542975799331,0.9559099565445133,27,1,0,fixed,,,short,129.60743801652893,242,31365.0,0.49586776859504134,1.1654839475558605,1840.8333333333333,-1553.5655737704917,28750.0,,,,,,8500.0
240,120,115,250,20,170,180,260,0.9920484751646093,0.9488380716718128,16,1,1,trail_pts,,,short,129.6048632218845,658,85280.0,0.5212765957446809,1.3974275328548793,874.2274052478134,-687.7564102564103,10950.0,,,3500.0,,,
240,120,205,280,40,135,170,590,0.9438217811723253,1.0139514518155381,26,1,1,trail_pts,,,short,129.59935897435898,624,80870.0,0.483974358974359,1.2221825375020605,1473.0132450331125,-1141.0031347962383,29530.0,,,4000.0,,,
120,60,195,270,85,125,310,650,1.029968973073924,1.0083285185105904,12,0,1,trail_pts,,,short,129.5985401459854,274,35510.0,0.32116788321167883,1.0908800081896939,4843.693181818182,-2100.7258064516127,40790.0,,,4500.0,,,
150,120,35,40,20,175,100,260,0.9021206065855046,0.9179072795364639,10,0,1,breakeven,,,short,129.56591639871382,311,40295.0,0.3215434083601286,1.0916107764010459,4801.45,-2084.5971563981043,57100.0,3500.0,0.0,,,,
240,120,225,240,20,185,190,260,0.9925625684250917,1.0229688707867504,21,1,1,breakeven,,,short,129.5580808080808,396,51305.0,0.49747474747474746,1.3344415110328869,1039.1370558375634,-782.6785714285714,14510.0,1500.0,200.0,,,,
300,45,225,235,30,165,270,670,0.9962813720537423,0.9906539685201179,21,0,0,none,,,short,129.53436807095343,451,58420.0,0.35698447893569846,1.1591803926377025,2642.391304347826,-1269.9134948096885,37440.0,,,,,,
180,60,140,210,5,80,60,540,0.990846608893756,1.016555413965581,11,1,0,fixed,,,short,129.4857142857143,700,90640.0,0.4057142857142857,1.2264952459487488,1728.2570422535211,-968.9709443099274,33320.0,,,,,,5500.0
180,90,70,100,20,55,210,480,1.012502396743607,0.9324849775548312,28,1,1,time,39.0,400.0,short,129.48519040902679,709,91805.0,0.5105782792665726,1.2379909267660403,1319.2127071823204,-1118.1159420289855,28160.0,,,,,,
180,90,80,275,90,115,240,550,0.9841881219023906,1.0409402983352032,21,1,1,breakeven,,,short,129.4757033248082,391,50625.0,0.4629156010230179,1.1778250026344446,1852.5690607734807,-1362.153110047847,24575.0,500.0,0.0,,,,
150,120,160,110,90,130,90,420,1.04616129946486,0.9087403632005756,10,1,0,none,,,short,129.46768060836501,263,34050.0,0.49429657794676807,1.1521923747374068,1982.923076923077,-1682.1804511278197,16650.0,,,,,,
180,90,25,25,20,110,180,680,0.9139568595033823,1.0206789520064705,14,0,1,breakeven,,,short,129.3579766536965,257,33245.0,0.3424124513618677,1.142048367800376,3037.3295454545455,-1384.8520710059172,29325.0,500.0,200.0,,,,
240,90,210,280,50,65,120,480,1.0160317160107413,0.9608794980200481,18,1,1,trail_atr,,,short,129.28044280442805,542,70070.0,0.503690036900369,1.2126716746338873,1463.5347985347985,-1224.814126394052,39565.0,,,,1.25,,
150,45,290,235,85,115,150,240,0.9198274635614044,0.9366338203365354,29,0,0,fixed,,,short,129.26923076923077,260,33610.0,0.3923076923076923,1.0997373770345862,3633.2843137254904,-2132.8164556962024,47160.0,,,,,,3000.0
150,120,30,200,50,30,170,370,0.9508386243792037,0.9956642344091804,17,1,1,atr,,,short,129.20162381596754,739,95480.0,0.4857916102841678,1.2826984855438275,1206.7548746518105,-891.1477572559367,27055.0,,,,,4.57,
150,120,20,170,5,105,320,490,1.0278818281750253,0.9130186190240291,13,1,1,time,40.0,1000.0,short,129.15189873417722,395,51015.0,0.5012658227848101,1.32429597609815,1052.1464646464647,-802.6020408163265,11665.0,,,,,,
300,60,170,265,75,20,350,570,1.0203224658787327,1.0068036370291187,21,1,0,atr,,,short,129.12731006160163,487,62885.0,0.45585215605749485,1.2866487373507156,1271.463963963964,-837.3282442748092,25645.0,,,,,4.9,
240,90,100,35,50,60,220,550,0.9380940898919778,0.9123210445159331,24,0,0,none,,,short,129.07986111111111,288,37175.0,0.4201388888888889,1.101728077496682,3327.3553719008264,-2188.2335329341317,51785.0,,,,,,
180,45,190,105,95,150,70,200,1.0187452340220269,0.9124955386198084,18,1,0,none,,,short,129.06387665198238,454,58595.0,0.5330396475770925,1.3458258329152772,942.2727272727273,-806.8333333333334,21190.0,,,,,,
150,45,190,210,70,120,280,420,1.0208755020317881,0.9441768549229829,20,1,0,trail_pts,,,short,129.0453686200378,529,68265.0,0.48582230623818523,1.253119264354178,1315.0194552529183,-998.8703703703703,17440.0,,,4000.0,,,
240,60,255,215,25,180,240,650,0.9124523975162424,0.9965781317523559,17,0,1,breakeven,,,short,129.03954802259886,354,45680.0,0.3220338983050847,1.1425517639532525,3211.622807017544,-1335.1875,38690.0,2000.0,200.0,,,,
180,90,50,210,70,50,180,550,1.032777640590104,0.9494330260738713,11,1,0,atr,,,short,129.03536977491962,311,40130.0,0.4758842443729904,1.1972087080446214,1646.081081081081,-1248.4049079754602,27225.0,,,,,3.56,
180,60,165,240,20,195,260,450,1.0146213255603493,0.9607562554899232,5,1,0,trail_atr,,,short,129.02255639097746,665,85800.0,0.49473684210526314,1.2359087159747044,1366.2613981762918,-1092.1921921921921,33635.0,,,,4.95,,
180,45,135,275,70,185,310,580,0.921006357602447,0.9389437360251256,18,0,0,time,6.0,0.0,short,129.01772525849336,677,87345.0,0.155096011816839,1.2283708526158914,4474.428571428572,-671.0,50750.0,,,,,,
300,45,45,280,95,45,150,490,1.0253278435394964,0.9652476724328114,15,1,0,atr,,,short,128.86877828054298,221,28480.0,0.4796380090497738,1.187664733790195,1700.377358490566,-1331.2280701754387,27670.0,,,,,3.92,
150,60,35,285,30,135,140,620,1.012276644276131,0.9583839081954354,16,1,0,none,,,short,128.8430698739977,873,112480.0,0.4627720504009164,1.2097724729578516,1605.6435643564357,-1165.6521739130435,39950.0,,,,,,
120,45,180,165,40,65,430,560,0.9574222464637459,0.9653662246616432,7,0,1,none,,,short,128.81619937694705,321,41350.0,0.3925233644859813,1.1150176629300994,3181.4285714285716,-1843.6410256410256,49635.0,,,,,,
210,45,220,220,10,30,100,590,1.0074535953844947,0.912563319917765,10,1,0,breakeven,,,short,128.8053097345133,904,116440.0,0.4325221238938053,1.2681620856027545,1408.3248081841432,-853.0746561886051,23765.0,2500.0,200.0,,,,
240,90,230,225,100,175,90,370,1.0751690641318565,1.044267924877252,18,1,1,fixed,,,short,128.80392156862746,255,32845.0,0.47843137254901963,1.1281681072327474,2369.754098360656,-1926.8045112781954,29730.0,,,,,,7000.0
180,60,20,285,5,160,110,590,0.9200643426702005,1.0517846898104015,12,0,0,atr,,,short,128.79716981132074,212,27305.0,0.3018867924528302,1.1337398672642225,3616.71875,-1388.8775510204082,45160.0,,,,,2.75,
240,60,25,295,70,85,470,580,0.9185996559644181,0.9313310145741445,17,0,1,fixed,,,short,128.76923076923077,325,41850.0,0.35384615384615387,1.1154817257412493,3515.1739130434785,-1725.6904761904761,51660.0,,,,,,2500.0
180,45,60,210,85,140,190,560,1.033628802846983,1.0183919535613049,20,1,1,none,,,short,128.755230125523,478,61545.0,0.46234309623430964,1.1700326002873245,1916.3122171945702,-1419.450980392157,31360.0,,,,,,
180,120,270,205,15,50,90,340,0.9870586386664483,0.9364345319536862,19,1,0,fixed,,,short,128.69488536155202,567,72970.0,0.5061728395061729,1.2604443651289372,1230.4703832752614,-1007.8237410071943,28220.0,,,,,,1500.0
150,60,235,195,25,115,230,500,0.9248039630619791,0.978545082782486,22,0,1,breakeven,,,short,128.68146214099218,383,49285.0,0.34464751958224543,1.1369864917449553,3098.9772727272725,-1433.386454183267,34910.0,2500.0,100.0,,,,
210,45,90,155,5,30,230,520,0.9035266376553714,1.004084019020795,20,0,1,atr,,,short,128.6304347826087,690,88755.0,0.3463768115942029,1.2082008937472877,2155.020920502092,-949.4320712694878,26640.0,,,,,4.48,
150,90,175,190,30,120,190,460,1.0135879465714073,1.0064527530828096,23,1,1,atr,,,short,128.6,650,83590.0,0.5169230769230769,1.234849549068637,1308.095238095238,-1159.3811074918567,27435.0,,,,,3.36,
120,45,80,85,15,155,60,290,0.9844325701217627,1.028535586981592,15,1,1,breakeven,,,short,128.58695652173913,322,41405.0,0.4720496894409938,1.2511296436694466,1357.1052631578948,-975.5917159763313,14115.0,1000.0,500.0,,,,
240,45,280,290,15,155,210,560,1.034778916716934,0.9445822648030896,7,1,1,breakeven,,,short,128.5632183908046,435,55925.0,0.4459770114942529,1.183921465452034,1855.6443298969073,-1266.9583333333333,28370.0,1500.0,500.0,,,,
120,60,150,210,10,60,100,500,0.9285946855717581,0.925659262746535,5,0,1,fixed,,,short,128.55105105105105,666,85615.0,0.3258258258258258,1.1823030896663331,2558.7327188940094,-1048.28125,34145.0,,,,,,1500.0
180,120,165,205,10,85,80,390,0.9603840251139482,0.9716799557586732,28,1,0,time,35.0,1800.0,short,128.45703125,768,98655.0,0.4622395833333333,1.2317150507328072,1477.225352112676,-1038.439024390244,28885.0,,,,,,
150,45,265,180,10,180,390,540,1.0037152504414668,0.9468372507904306,11,1,0,none,,,short,128.43944099378882,644,82715.0,0.4937888198757764,1.3192088760250844,1074.9685534591194,-802.2445820433436,19235.0,,,,,,
300,120,220,190,20,160,220,480,1.0022547912007296,1.0664698846609164,28,1,0,atr,,,short,128.4297520661157,242,31080.0,0.512396694214876,1.1512188001751569,1908.1451612903227,-1741.7796610169491,16440.0,,,,,1.11,
180,60,90,255,25,45,250,680,1.025501466028698,0.9587199635873975,30,1,1,time,23.0,1000.0,short,128.4205020920502,478,61385.0,0.48326359832635984,1.2161900401493273,1494.9134199134198,-1163.688524590164,50305.0,,,,,,
300,120,240,275,60,170,210,470,0.9111963681981827,0.9349377208744765,30,1,1,time,18.0,400.0,short,128.4090909090909,770,98875.0,0.5064935064935064,1.2414706816128165,1303.448717948718,-1077.5526315789473,30360.0,,,,,,
240,60,280,285,75,180,80,430,1.0016749178023434,0.991337023106929,21,1,0,atr,,,short,128.40628507295173,891,114410.0,0.4882154882154882,1.213634835866602,1494.1379310344828,-1184.8230088495575,31655.0,,,,,2.1,
300,90,40,60,75,60,370,510,0.9949423072288769,0.9612024282262709,8,0,1,breakeven,,,short,128.39662447257385,237,30430.0,0.3881856540084388,1.0854763275796688,4200.380434782609,-2455.206896551724,82360.0,2500.0,200.0,,,,
300,45,105,195,80,190,450,690,1.004772328316795,0.9331756488237231,29,0,1,fixed,,,short,128.38010204081633,392,50325.0,0.25,1.1440285051944707,4078.9285714285716,-1188.469387755102,41645.0,,,,,,1000.0
180,120,105,215,75,20,180,370,0.9897373437183592,0.9343275025257699,17,0,1,trail_pts,,,short,128.33333333333334,264,33880.0,0.4166666666666667,1.2674772036474165,1459.5,-833.3223684210526,14100.0,,,500.0,,,
300,60,245,155,90,55,90,460,0.9086224233634419,0.9431726550893349,24,0,0,breakeven,,,short,128.32247557003257,307,39395.0,0.42671009771986973,1.13035637470633,2607.671755725191,-1736.83908045977,49715.0,1500.0,0.0,,,,
210,60,260,235,65,130,200,490,1.0399935898933885,0.9479764798378717,25,1,1,none,,,short,128.29234972677597,366,46955.0,0.4808743169398907,1.1788557498190684,1758.4375,-1396.436170212766,30190.0,,,,,,
210,45,40,280,20,125,140,300,1.0082006032460733,1.0232641860854175,5,0,1,trail_atr,,,short,128.2391304347826,230,29495.0,0.36086956521739133,1.1102081231551022,3579.8192771084337,-1820.6122448979593,38025.0,,,,4.62,,
