month,trades,n_long,n_short,pnl,avg_pnl,wins,gross_profit,gross_loss,avg_contracts,date,cum_pnl,equity,wr,pf,return_pct
2012-02,6,5,1,73131.62300000002,12188.603833333336,2,488133.314,-415001.691,35.666666666666664,2012-02-01,10461287.441,15461287.441,33.33333333333333,1.1762200602695858,1.4626324600000005
2012-03,5,1,4,44006.42300000001,8801.284600000003,2,156406.681,-112400.25799999999,30.8,2012-03-01,10505293.864,15505293.864,40.0,1.3915153201872545,0.8801284600000002
2012-04,7,0,7,-346348.581,-49478.368714285716,0,0.0,-346348.581,34.0,2012-04-01,10158945.283,15158945.283,0.0,0.0,-6.92697162
2012-05,4,0,4,830698.646,207674.6615,3,841958.9359999999,-11260.29,35.5,2012-05-01,10989643.929,15989643.929,75.0,74.77240248696968,16.613972920000002
2012-06,5,3,2,-258161.424,-51632.2848,1,30425.256,-288586.68,36.4,2012-06-01,10731482.504999999,15731482.504999999,20.0,0.10542848339362025,-5.16322848
2012-07,7,6,1,-510782.01900000003,-72968.85985714286,1,18803.026,-529585.0449999999,40.857142857142854,2012-07-01,10220700.486,15220700.486,14.285714285714285,0.03550520577861107,-10.21564038
2012-08,7,5,2,-238483.85600000003,-34069.12228571429,2,61469.228,-299953.08400000003,35.142857142857146,2012-08-01,9982216.629999999,14982216.629999999,28.57142857142857,0.20492947490414867,-4.769677120000001
2012-09,5,3,2,-241325.293,-48265.058600000004,2,97538.16900000001,-338863.462,38.4,2012-09-01,9740891.337,14740891.337,40.0,0.2878391444870501,-4.82650586
2012-10,9,3,6,35611.33800000002,3956.8153333333353,2,265657.36,-230046.022,40.0,2012-10-01,9776502.674999999,14776502.674999999,22.22222222222222,1.1548009293549097,0.7122267600000004
2012-11,3,1,2,141860.694,47286.897999999994,1,257290.4,-115429.706,44.666666666666664,2012-11-01,9918363.368999999,14918363.368999999,33.33333333333333,2.2289790810001713,2.8372138799999997
2012-12,8,8,0,273597.72,34199.715,4,361027.644,-87429.924,66.75,2012-12-01,10191961.089,15191961.089,50.0,4.129337273586101,5.4719543999999996
2013-01,4,4,0,-81065.78,-20266.445,2,68859.39,-149925.16999999998,64.0,2013-01-01,10110895.309,15110895.309,50.0,0.45929172533204404,-1.6213156
2013-02,6,1,5,1675.3939999999857,279.2323333333309,3,165802.32,-164126.926,43.0,2013-02-01,10112570.703,15112570.703,50.0,1.0102079167680262,0.03350787999999971
2013-03,2,0,2,5324.44,2662.22,1,8077.08,-2752.6400000000003,40.0,2013-03-01,10117895.143,15117895.143,50.0,2.934303069053708,0.1064888
2013-04,4,1,3,288721.136,72180.284,2,325022.0,-36300.864,44.0,2013-04-01,10406616.279,15406616.279,50.0,8.953560995132237,5.77442272
2013-05,4,2,2,278347.80799999996,69586.95199999999,2,371478.936,-93131.128,45.0,2013-05-01,10684964.087,15684964.087,50.0,3.988773077031774,5.566956159999999
2013-06,1,0,1,26103.996,26103.996,1,26103.996,0.0,36.0,2013-06-01,10711068.082999999,15711068.082999999,100.0,inf,0.52207992
2013-07,7,3,4,191036.02,27290.859999999997,1,322668.8,-131632.78,46.857142857142854,2013-07-01,10902104.102999998,15902104.102999998,14.285714285714285,2.451279992719139,3.8207203999999995
2013-08,4,1,3,-100396.556,-25099.139,0,0.0,-100396.556,49.5,2013-08-01,10801707.546999998,15801707.546999998,0.0,0.0,-2.00793112
2013-09,4,2,2,108655.232,27163.808,2,123934.248,-15279.016,50.0,2013-09-01,10910362.779,15910362.779,50.0,8.111402462043367,2.17310464
2013-10,4,2,2,138513.62800000003,34628.40700000001,2,158760.728,-20247.1,44.5,2013-10-01,11048876.407,16048876.407,50.0,7.841158882012733,2.7702725600000004
2013-11,3,0,3,22936.880000000012,7645.626666666671,2,124084.64000000001,-101147.76,40.0,2013-11-01,11071813.287,16071813.287,66.66666666666666,1.2267660697577487,0.45873760000000025
2013-12,1,1,0,211486.704,211486.704,1,211486.704,0.0,78.0,2013-12-01,11283299.991,16283299.991,100.0,inf,4.22973408
2014-01,7,1,6,-173819.14,-24831.305714285718,2,331803.39999999997,-505622.54000000004,47.142857142857146,2014-01-01,11109480.851,16109480.851,28.57142857142857,0.6562274696060819,-3.4763828000000006
2014-02,4,2,2,-120573.276,-30143.319,1,554.3199999999999,-121127.59599999999,47.0,2014-02-01,10988907.575,15988907.575,25.0,0.004576331226783367,-2.4114655199999997
2014-03,2,0,2,293947.98,146973.99,1,401415.6,-107467.62,35.0,2014-03-01,11282855.555,16282855.555,50.0,3.735223688772488,5.8789596
2014-04,4,2,2,75455.656,18863.914,3,229220.87199999997,-153765.216,39.0,2014-04-01,11358311.211,16358311.211,75.0,1.4907199297921838,1.50911312
2014-05,4,3,1,555573.8339999999,138893.45849999998,1,763782.558,-208208.724,41.5,2014-05-01,11913885.045,16913885.045,25.0,3.6683504097551647,11.111476679999999
2014-06,5,4,1,-21918.219999999987,-4383.6439999999975,1,183233.962,-205152.18199999997,43.6,2014-06-01,11891966.825,16891966.825,20.0,0.8931611655975467,-0.4383643999999997
2014-07,6,2,4,188305.816,31384.302666666666,4,292846.248,-104540.432,40.666666666666664,2014-07-01,12080272.640999999,17080272.641,66.66666666666666,2.801272602355422,3.76611632
2014-08,5,1,4,61728.944,12345.7888,2,98557.368,-36828.424,40.0,2014-08-01,12142001.584999999,17142001.585,40.0,2.6761223342057754,1.23457888
2014-09,4,1,3,-227846.82,-56961.705,0,0.0,-227846.81999999998,39.5,2014-09-01,11914154.764999999,16914154.765,0.0,0.0,-4.5569364
2014-10,8,0,8,11560.559999999983,1445.069999999998,3,152595.36,-141034.8,40.0,2014-10-01,11925715.325,16925715.325,37.5,1.0819695564498975,0.23121119999999967
2014-11,5,2,3,-258876.67200000002,-51775.33440000001,1,22381.278,-281257.95,41.6,2014-11-01,11666838.652999999,16666838.652999999,20.0,0.07957562799558199,-5.17753344
2014-12,3,2,1,230793.28,76931.09333333334,1,372008.88,-141215.6,31.333333333333332,2014-12-01,11897631.932999998,16897631.933,33.33333333333333,2.6343327507725776,4.6158656
2015-01,10,3,7,-87890.99799999998,-8789.099799999998,2,215879.784,-303770.782,32.8,2015-01-01,11809740.934999999,16809740.935,20.0,0.7106667158002049,-1.7578199599999997
2015-02,3,3,0,168499.31199999998,56166.43733333333,1,250693.492,-82194.18,32.666666666666664,2015-02-01,11978240.247,16978240.247,33.33333333333333,3.0500151227252346,3.3699862399999994
2015-03,5,4,1,-85128.812,-17025.7624,1,29654.154,-114782.96599999999,37.2,2015-03-01,11893111.434999999,16893111.435,20.0,0.2583497798793595,-1.7025762400000002
2015-04,3,3,0,753856.8,251285.6,1,803489.192,-49632.392,40.0,2015-04-01,12646968.235,17646968.235,33.33333333333333,16.188806535860696,15.077136000000003
2015-05,6,4,2,28710.066000000003,4785.011,3,64632.328,-35922.262,40.0,2015-05-01,12675678.300999999,17675678.301,50.0,1.7992276766980875,0.5742013200000001
2015-06,5,2,3,163326.628,32665.3256,2,298065.72,-134739.092,44.4,2015-06-01,12839004.929,17839004.928999998,40.0,2.212169575849598,3.2665325599999995
2015-07,7,1,6,62499.619999999995,8928.517142857143,4,142814.47999999998,-80314.86,42.857142857142854,2015-07-01,12901504.548999999,17901504.549,57.14285714285714,1.7781825181541744,1.2499924
2015-08,5,0,5,53113.23999999999,10622.647999999997,2,215106.52,-161993.28,40.0,2015-08-01,12954617.788999999,17954617.788999997,40.0,1.3278731068350489,1.0622648
2015-09,10,6,4,-314896.724,-31489.6724,0,0.0,-314896.72400000005,36.2,2015-09-01,12639721.065,17639721.064999998,0.0,0.0,-6.29793448
2015-10,5,2,3,367692.352,73538.4704,4,459166.63200000004,-91474.28,47.6,2015-10-01,13007413.417,18007413.417,80.0,5.019625538457368,7.35384704
2015-11,6,4,2,-88595.754,-14765.959,2,93843.28,-182439.03399999999,40.333333333333336,2015-11-01,12918817.662999999,17918817.663,33.33333333333333,0.5143815878788308,-1.7719150799999999
2015-12,5,2,3,-148530.278,-29706.0556,1,75724.68,-224254.95799999998,54.8,2015-12-01,12770287.384999998,17770287.384999998,20.0,0.3376722667598725,-2.97060556
2016-01,3,0,3,166260.24,55420.079999999994,3,166260.24,0.0,40.0,2016-01-01,12936547.624999998,17936547.625,100.0,inf,3.3252048
2016-02,2,1,1,38780.69399999999,19390.346999999994,1,116121.654,-77340.96,39.0,2016-02-01,12975328.318999998,17975328.319,50.0,1.5014250404960061,0.7756138799999998
2016-03,3,2,1,237659.496,79219.83200000001,1,470618.976,-232959.48,42.666666666666664,2016-03-01,13212987.814999998,18212987.814999998,33.33333333333333,2.0201752510779984,4.7531899200000005
2016-04,6,5,1,-123741.50400000002,-20623.584000000003,3,56619.168000000005,-180360.67200000002,43.333333333333336,2016-04-01,13089246.310999997,18089246.310999997,50.0,0.3139219175231283,-2.4748300800000003
2016-05,7,3,4,-175270.584,-25038.654857142858,2,35364.4,-210634.98400000003,46.285714285714285,2016-05-01,12913975.726999996,17913975.726999998,28.57142857142857,0.16789423735992495,-3.50541168
2016-06,4,2,2,112862.20199999999,28215.550499999998,2,188845.71,-75983.508,45.0,2016-06-01,13026837.928999996,18026837.928999998,50.0,2.485351294915207,2.25724404
2016-07,5,5,0,5880.936000000009,1176.1872000000017,1,131123.888,-125242.952,61.6,2016-07-01,13032718.864999996,18032718.864999995,20.0,1.0469562231334184,0.11761872000000018
