y_true,y_pred,y_logit,q10,q50,q90
0.0023936033,0.00043958798,-0.03917464,-0.008618861,-0.000950709,0.0011874326
-0.005983591,0.00042863935,-0.03914272,-0.008639816,-0.00095950067,0.0012191944
0.0018802881,0.00035696477,-0.038790084,-0.008757841,-0.0009894744,0.0014125705
0.0029064417,0.00042359717,-0.039112456,-0.0086490065,-0.00095885247,0.0012282357
0.0035899878,0.0006336309,-0.03999106,-0.00839977,-0.0009407103,0.0009962358
-0.0032482147,0.00059592165,-0.039835386,-0.008436412,-0.000943467,0.0010237284
0.0030776262,0.0006332118,-0.03999406,-0.008400008,-0.0009455979,0.0010049976
-0.0056419373,0.0005533006,-0.0396616,-0.008508075,-0.0009621456,0.0011262111
0.00085508823,0.0005110949,-0.039485775,-0.008546352,-0.00095465034,0.001134403
-0.0020518303,0.0004312992,-0.03913209,-0.008666586,-0.0009757206,0.001293119
0.0071804523,0.00046636723,-0.03929071,-0.008601207,-0.00095279515,0.0011788085
0.0039322376,0.0005974304,-0.039837994,-0.008451216,-0.00094014406,0.001041092
-0.004103422,0.0005554147,-0.039598703,-0.008528359,-0.0009611994,0.0011885203
-0.0015385151,0.0006774571,-0.040184036,-0.008338172,-0.0009323433,0.0009287186
-0.0006840229,0.00062422827,-0.03997563,-0.008406181,-0.000942871,0.0009972677
-0.0010256767,0.00053518265,-0.03957758,-0.0085500665,-0.0009723976,0.0012030192
0.0013679266,0.0006689206,-0.04014729,-0.008357726,-0.0009347424,0.000948932
-0.0027353764,0.0007252563,-0.040393762,-0.008303538,-0.0009376332,0.000918746
-0.003761053,0.0008130688,-0.040783897,-0.00818973,-0.00091919303,0.00078156963
-0.008547902,0.0008502435,-0.04094652,-0.008116033,-0.0009065345,0.0006890781
0.0018802881,0.0007344112,-0.04038488,-0.0082960725,-0.0009473711,0.0009656623
0.00017106533,0.0007324014,-0.040432103,-0.008275006,-0.0009263754,0.000864774
0.0023937225,0.0006480068,-0.0400581,-0.0083744675,-0.0009300932,0.0009556487
-0.006325364,0.0006284546,-0.039986707,-0.008398391,-0.0009382814,0.0009867884
0.007351041,0.00048699975,-0.039318338,-0.008606955,-0.0009791702,0.0012850054
0.0029059649,0.000495648,-0.03940575,-0.008560818,-0.00094895065,0.0011419058
0.0061547756,0.00047875755,-0.03927964,-0.008583747,-0.00094789267,0.0011874251
-0.004445076,0.00045245327,-0.03914141,-0.008669078,-0.0009928346,0.0013820417
-0.002564311,0.00042558834,-0.03902986,-0.008681111,-0.0009761974,0.0013471618
