y_true,y_pred,y_logit,q10,q50,q90
0.0039321184,-0.01110016,-0.030004337,-0.006639009,0.0012588857,0.0039612716
-0.010086894,-0.009470787,-0.03155809,-0.0063501196,0.00069805403,0.0035060924
-0.011282802,-0.011061015,-0.029867802,-0.0073160417,0.0012350299,0.004663825
-0.0020519495,-0.009629933,-0.023673158,-0.0077500753,0.0015897795,0.0057280567
-0.002564311,-0.008937774,-0.03723093,-0.0066379746,0.0007689591,0.0044727284
0.008377314,-0.009035055,-0.036009144,-0.006809026,0.0004955817,0.0042647067
-0.008035064,-0.009688886,-0.016126437,-0.0071622743,0.00088113506,0.005960934
0.0094025135,-0.008619675,-0.04290412,-0.0063150115,0.00015208547,0.0040309574
0.01077044,-0.009161461,-0.050854288,-0.005855502,5.987202e-05,0.00351864
0.00034177303,-0.008883383,-0.053327776,-0.005474659,-0.00022274719,0.0030608193
-0.006154299,-0.008776499,-0.052419253,-0.005628145,-0.00038933355,0.0030375521
0.011453986,-0.009199018,-0.05590794,-0.005227711,-0.00035659145,0.0026371665
-0.007863998,-0.009346006,-0.047495298,-0.0056116525,-1.2506207e-05,0.002826318
-0.0010256767,-0.009908581,-0.054477304,-0.0050378316,-0.00022792956,0.0024076193
0.0035899878,-0.004162582,-0.041776393,-0.005142249,7.659721e-05,0.002878732
-0.0013674498,-0.006208776,-0.042525854,-0.0057376176,0.0003374446,0.0031901684
0.010086417,-0.0074551473,-0.03729972,-0.006254036,0.00020363001,0.0032612965
0.00034177303,-0.011633063,-0.040666483,-0.0066433963,0.0006928546,0.003743379
-0.0015386343,-0.010026136,-0.04469157,-0.0057086423,0.0003289081,0.0030329975
-0.0013673306,-0.010765368,-0.04361011,-0.0058826935,0.00043414586,0.0031797034
0.0027353764,-0.0034421594,-0.04146638,-0.0051567284,0.00015112374,0.002946318
-0.0056419373,-0.0071564247,-0.037033085,-0.00628776,0.00052148517,0.0035116542
0.00051283836,-0.004008409,-0.04328701,-0.0051684347,-1.8161547e-05,0.0026509457
0.0061547756,-0.0052348175,-0.044583723,-0.005885889,0.00013569067,0.0031377862
0.0027348995,-0.0044387304,-0.04603631,-0.0052449186,0.00014989485,0.0027689347
