tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
300,90,55,170,5,80,140,270,0.9698333128504341,0.9092970590053131,26,1,1,-14.163208852005532,723,-10240.0,0.5117565698478561,0.9468631622645426,493.1621621621622,-560.203488372093
180,60,225,60,50,180,140,390,0.9479567695038595,1.0165522360208468,24,1,1,-14.201101928374655,726,-10310.0,0.48622589531680444,0.9717010910588074,1002.8753541076487,-982.0080862533692
240,45,125,130,15,115,300,630,0.9757831842220478,0.9812282624426619,11,0,0,-14.232456140350877,684,-9735.0,0.35964912280701755,0.9830230631730392,2291.4227642276423,-1318.2183908045977
180,120,205,280,30,95,70,230,0.911418978236926,0.9628057750680528,12,1,1,-14.307875894988067,838,-11990.0,0.4928400954653938,0.9518077131775157,573.3777239709443,-595.2033492822967
210,45,285,85,15,160,320,640,0.9553148497010816,1.010321054801874,28,0,1,-14.322799097065463,443,-6345.0,0.33182844243792325,0.9824575954879111,2417.3469387755104,-1226.084745762712
240,45,175,235,75,125,60,360,0.9317039546669469,0.9529320756316494,13,1,0,-14.458149779735683,1135,-16410.0,0.4669603524229075,0.9665828352662071,895.5754716981132,-826.7087542087542
240,60,60,30,60,170,230,370,0.9268553773500583,1.0063132925631624,26,1,0,-14.4970703125,1024,-14845.0,0.49609375,0.9669946084153188,856.1614173228346,-883.6444007858546
240,120,185,245,20,185,240,320,0.9040768282841899,0.9330690970342739,19,1,0,-14.560770156438027,831,-12100.0,0.5006016847172082,0.9593939292246254,687.2235576923077,-723.2645631067961
210,90,100,65,80,25,150,320,0.9186905910224418,0.9319760254864752,15,1,0,-14.590301003344482,1196,-17450.0,0.4899665551839465,0.9639242926990624,795.6569965870307,-800.8360927152318
120,45,140,260,45,195,90,280,0.9104986517719336,0.9718655761867341,5,1,0,-14.63794683776352,1091,-15970.0,0.458295142071494,0.9622962237200902,815.19,-721.5758091993185
