tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
120,90,30,90,75,115,250,610,0.9283069682543841,1.0026184493079993,7,0,0,short,432.8382352941176,340,147165.0,0.34411764705882353,1.4273642026397177,4201.025641025641,-1551.1486486486488
300,60,65,195,45,85,290,520,0.9253618941434026,0.9926914502623085,29,0,1,short,431.4760638297872,376,162235.0,0.3670212765957447,1.3895011043887449,4193.876811594203,-1750.0840336134454
120,90,50,150,40,155,270,490,0.9010520246567466,0.9431421911579564,14,0,0,short,430.9313725490196,306,131865.0,0.3333333333333333,1.3391502276176024,5104.656862745098,-1905.9313725490197
120,45,240,65,30,115,130,600,1.0048706819315787,0.9503107286473642,18,0,1,short,430.30785562632695,471,202675.0,0.37791932059447986,1.5988152218873721,3040.0842696629215,-1163.0927835051546
120,60,120,180,75,160,130,600,0.9094237705396154,0.973283410208716,29,0,1,short,429.36141304347825,368,158005.0,0.3342391304347826,1.4525742928750447,4123.008130081301,-1430.8401639344263
240,120,55,125,5,40,330,570,0.9481933122164071,1.007490885200211,26,0,0,short,429.25632911392404,316,135645.0,0.3924050632911392,1.4243680390439244,3671.6532258064517,-1664.7916666666667
120,45,70,140,65,150,400,470,0.91780311301372,0.922503249802785,25,0,0,short,427.12827988338194,343,146505.0,0.3877551020408163,1.3131285065455518,4619.398496240601,-2227.9761904761904
240,60,125,205,25,30,380,510,0.975065678092551,0.911306158103729,15,0,0,short,426.96875,320,136630.0,0.453125,1.3857588548357498,3384.9310344827586,-2023.9142857142858
180,45,140,100,95,140,360,530,0.967452371628437,0.9559239234752033,13,0,1,short,425.9186746987952,332,141405.0,0.39457831325301207,1.3484469524290625,4177.251908396946,-2039.2713567839196
240,45,160,290,80,130,280,570,0.9446127713835227,0.9603319947296747,16,0,0,short,424.97297297297297,370,157240.0,0.35945945945945945,1.4478559933921018,3822.0676691729323,-1481.4135021097047
120,60,65,95,85,120,290,630,0.9367408315569352,0.9041978337113179,13,0,1,short,424.6603260869565,368,156275.0,0.3451086956521739,1.3907461119167874,4379.645669291339,-1659.5020746887967
150,45,80,215,65,105,150,280,0.9294482468981752,0.9776820495984286,28,0,0,short,423.22802197802196,364,154055.0,0.35714285714285715,1.3374550950670288,4696.7307692307695,-1959.3133047210301
300,45,20,125,90,95,240,550,0.9565777504893265,0.9103910675234419,14,0,0,short,422.79193205944796,471,199135.0,0.4118895966029724,1.4422372248995092,3347.5515463917527,-1631.4855072463768
120,45,130,270,80,85,180,620,1.0096752972913992,0.9762653380412718,21,0,1,short,422.2282608695652,368,155380.0,0.33152173913043476,1.5603014622360853,3546.6803278688526,-1127.2967479674796
120,60,210,210,30,75,190,560,1.0144710347469337,0.9321617878563067,13,0,0,short,420.5238095238095,315,132465.0,0.33650793650793653,1.4281005090086452,4168.773584905661,-1494.806763285024
120,60,175,230,20,150,340,540,1.0118315042769683,0.9975733908937434,24,0,1,short,420.4605263157895,304,127820.0,0.3684210526315789,1.4021520261766927,3979.1071428571427,-1664.083769633508
120,45,25,295,85,125,110,330,1.0074404540811808,0.9978872848570508,5,0,1,short,419.24198250728864,343,143800.0,0.40233236151603496,1.4881774820498022,3176.557971014493,-1443.9460784313726
150,60,30,265,5,95,240,420,1.0153816636829898,0.9127376822341343,6,0,1,short,417.8333333333333,330,137885.0,0.4121212121212121,1.4674622412828642,3182.720588235294,-1536.2760416666667
240,45,130,50,70,95,320,580,1.0129656726325527,0.9277415206317619,30,0,0,short,413.64516129032256,310,128230.0,0.45806451612903226,1.5119881815096525,2666.7957746478874,-1490.8035714285713
120,60,205,295,35,70,100,600,1.013717923155993,0.9613642967808768,19,0,0,short,411.4572192513369,374,153885.0,0.3181818181818182,1.4758054542081505,4010.9663865546217,-1268.313725490196
120,45,30,275,45,45,330,540,1.0025098164725368,0.9688582028753405,17,0,1,short,410.5151515151515,330,135470.0,0.4212121212121212,1.415832770581374,3318.345323741007,-1705.65445026178
300,45,280,290,15,70,310,600,1.0187659513063554,0.9916692250555206,7,0,0,short,410.2191780821918,365,149730.0,0.3972602739726027,1.5111460075786023,3052.8275862068967,-1331.5
120,90,80,195,35,185,180,500,0.9305042507123921,0.9031501429131347,26,0,1,short,408.46504559270517,329,134385.0,0.3525835866261398,1.4084464234153458,3994.8275862068967,-1544.6713615023475
180,120,100,145,15,25,80,640,1.0062626678158064,0.9486872472427113,21,0,0,short,407.8396739130435,368,150085.0,0.38858695652173914,1.4418228116398535,3425.034965034965,-1509.7555555555555
120,60,105,185,65,150,210,590,0.9083330676330384,0.9033256710822526,28,0,1,short,403.0027548209366,363,146290.0,0.3415977961432507,1.4126773674856836,4038.548387096774,-1489.453781512605
180,45,240,270,50,110,100,670,1.0046259239658688,0.9436669807018556,17,0,1,short,401.44638403990024,401,160980.0,0.36658354114713215,1.4506908184834189,3524.9319727891157,-1406.240157480315
120,45,170,230,85,160,260,490,0.9550894723017908,0.9342982816234018,18,0,1,short,401.3622754491018,334,134055.0,0.3592814371257485,1.4149474563942241,3809.3333333333335,-1509.6495327102805
240,60,65,80,35,90,150,300,0.9818117293562114,0.9441416663803462,11,0,0,short,397.01428571428573,350,138955.0,0.38571428571428573,1.3293201720603396,4154.814814814815,-1962.5348837209303
300,45,140,285,65,60,80,620,0.9388263678877432,0.9264592789797315,24,0,0,short,396.3465553235908,479,189850.0,0.3883089770354906,1.55819355218088,2849.2741935483873,-1160.8020477815699
150,45,125,185,60,125,320,420,0.9124598063536683,0.9071207720810583,15,0,0,short,395.92063492063494,315,124715.0,0.37777777777777777,1.3104564181073646,4423.781512605042,-2060.076923076923
240,60,70,295,55,100,70,660,0.9514920858622816,0.9655464084200914,29,0,0,short,395.03080082135523,487,192380.0,0.3264887063655031,1.4420039288216981,3947.327044025157,-1331.0244648318044
240,60,290,300,10,195,100,430,1.0182362750064735,0.9771310926505747,26,0,1,short,393.94666666666666,375,147730.0,0.376,1.4653426361961162,3299.255319148936,-1356.6880341880342
300,60,90,270,70,135,280,640,0.9721262351258785,0.9775267345383305,29,0,0,short,391.87134502923976,342,134020.0,0.32456140350877194,1.372577909983042,4448.018018018018,-1557.186147186147
180,45,105,150,90,190,300,550,0.9247788097092194,0.9173049444551876,13,0,1,short,390.6547619047619,336,131260.0,0.3541666666666667,1.3117296411523025,4641.428571428572,-1940.4147465437788
150,45,140,105,60,130,240,590,0.9183438937038023,0.9013435310541058,21,0,0,short,390.4802955665025,406,158535.0,0.39408866995073893,1.4060419014445242,3431.09375,-1587.1544715447155
180,45,175,115,85,95,170,420,0.9975987191500895,0.9038461112911127,18,0,0,short,387.7521613832853,347,134550.0,0.3573487031700288,1.4069934512016213,3751.1693548387098,-1482.4887892376682
180,45,55,285,45,40,190,460,0.9706813952906184,0.9769589269991416,30,0,1,short,387.04016913319236,473,183070.0,0.42071881606765327,1.4403738137906978,3008.969849246231,-1517.2080291970804
120,45,90,125,85,160,80,240,0.9547577492408852,0.9014951487990258,24,0,1,short,386.700288184438,347,134185.0,0.3573487031700288,1.280621954534998,4938.346774193548,-2144.2600896860986
