Id,Direction,EntryTime,ExitTime,EntryPrice,ExitPrice,Contracts,Pnl1c,PnlNet,ExitReason,MlScore
410,Short,2018-03-26 16:49:00,2018-05-08 19:19:00,124290,113810,40,10480,419200,signal_reverse,0,000
411,Long,2018-05-10 13:59:00,2018-05-18 16:04:00,116650,117200,48,550,26400,signal_reverse,0,000
412,Long,2018-05-21 13:59:00,2018-05-22 13:59:00,118430,118870,54,440,23760,signal_reverse,0,000
413,Short,2018-06-06 17:34:00,2018-06-06 18:19:00,116770,117010,40,-240,-9600,signal_reverse,0,000
414,Long,2018-06-29 13:59:00,2018-07-13 13:59:00,112270,117410,62,5140,318680,signal_reverse,0,000
415,Short,2018-07-19 19:24:00,2018-07-20 20:04:00,112300,111890,40,410,16400,signal_reverse,0,000
416,Long,2018-07-31 13:59:00,2018-08-01 16:04:00,116640,116040,74,-600,-44400,signal_reverse,0,000
417,Long,2018-08-01 17:04:00,2018-08-01 19:19:00,116280,115810,78,-470,-36660,close_opposing,0,000
418,Short,2018-08-02 16:49:00,2018-08-09 19:24:00,115130,109940,40,5190,207600,signal_reverse,0,000
419,Long,2018-08-27 16:04:00,2018-08-28 18:04:00,108060,107520,52,-540,-28080,signal_reverse,0,000
420,Long,2018-08-29 13:59:00,2018-08-30 17:04:00,107840,107650,74,-190,-14060,signal_reverse,0,000
421,Long,2018-08-31 13:59:00,2018-09-04 13:59:00,108020,107910,62,-110,-6820,signal_reverse,0,000
422,Short,2018-09-06 19:24:00,2018-09-10 10:48:00,105320,104110,40,1210,48400,expiration,0,000
423,Long,2018-09-18 13:59:00,2018-10-04 13:59:00,109810,117150,68,7340,499120,signal_reverse,0,000
424,Short,2018-10-18 19:24:00,2018-11-02 13:59:00,113930,114010,40,-80,-3200,close_opposing,0,000
425,Long,2018-11-06 13:59:00,2018-11-09 13:59:00,114500,112120,60,-2380,-142800,signal_reverse,0,000
426,Short,2018-11-09 16:49:00,2018-11-29 18:04:00,111640,114050,40,-2410,-96400,close_opposing,0,000
427,Long,2018-12-03 13:59:00,2018-12-06 13:59:00,115230,112280,42,-2950,-123900,signal_reverse,0,000
428,Short,2018-12-06 16:49:00,2018-12-06 17:34:00,112800,112870,40,-70,-2800,signal_reverse,0,000
429,Long,2018-12-07 13:59:00,2018-12-07 15:04:00,113780,113540,48,-240,-11520,signal_reverse,0,000
430,Short,2018-12-19 16:49:00,2018-12-21 16:49:00,109090,108250,40,840,33600,signal_reverse,0,000
431,Long,2019-01-04 13:59:00,2019-01-23 13:59:00,110770,118810,58,8040,466320,signal_reverse,0,000
432,Long,2019-01-29 13:59:00,2019-02-07 13:59:00,118370,120460,76,2090,158840,signal_reverse,0,000
433,Short,2019-02-13 19:19:00,2019-02-14 16:49:00,118490,115850,40,2640,105600,signal_reverse,0,000
434,Long,2019-02-25 13:59:00,2019-02-25 16:04:00,120800,119680,80,-1120,-89600,signal_reverse,0,000
435,Short,2019-03-07 19:24:00,2019-03-11 11:05:00,117690,116650,40,1040,41600,expiration,0,000
436,Long,2019-03-18 13:59:00,2019-03-22 17:04:00,119960,119560,82,-400,-32800,signal_reverse,0,000
437,Short,2019-03-22 19:19:00,2019-03-25 16:04:00,119230,120360,40,-1130,-45200,close_opposing,0,000
438,Long,2019-03-26 13:59:00,2019-03-27 13:59:00,121560,119450,66,-2110,-139260,signal_reverse,0,000
439,Short,2019-03-28 16:49:00,2019-04-08 17:04:00,118870,121520,40,-2650,-106000,close_opposing,0,000
440,Long,2019-04-09 13:59:00,2019-04-18 16:04:00,122720,123820,94,1100,103400,signal_reverse,0,000
441,Long,2019-04-22 13:59:00,2019-04-24 13:59:00,125500,124660,100,-840,-84000,signal_reverse,0,000
442,Short,2019-04-26 19:19:00,2019-05-03 16:49:00,122340,122550,40,-210,-8400,signal_reverse,0,000
443,Short,2019-05-06 16:49:00,2019-05-08 18:19:00,121560,121820,40,-260,-10400,signal_reverse,0,000
444,Short,2019-05-08 19:24:00,2019-05-16 13:59:00,121080,123670,40,-2590,-103600,close_opposing,0,000
445,Long,2019-05-17 13:59:00,2019-05-17 15:04:00,123380,122930,72,-450,-32400,signal_reverse,0,000
446,Long,2019-05-20 13:59:00,2019-05-29 13:59:00,123380,124670,74,1290,95460,signal_reverse,0,000
447,Long,2019-05-29 16:04:00,2019-05-29 17:04:00,125020,124360,78,-660,-51480,signal_reverse,0,000
448,Long,2019-05-30 13:59:00,2019-05-30 16:04:00,126280,126470,64,190,12160,signal_reverse,0,000
449,Long,2019-06-03 13:59:00,2019-06-10 11:00:00,128620,128720,46,100,4600,expiration,0,000
450,Long,2019-06-18 13:59:00,2019-06-24 13:59:00,131110,136190,52,5080,264160,signal_reverse,0,000
451,Long,2019-07-01 13:59:00,2019-07-08 13:59:00,137370,137500,60,130,7800,signal_reverse,0,000
452,Long,2019-07-08 16:04:00,2019-07-09 13:59:00,137730,137650,86,-80,-6880,signal_reverse,0,000
453,Long,2019-07-10 18:04:00,2019-07-11 15:04:00,138770,138320,86,-450,-38700,signal_reverse,0,000
454,Short,2019-07-16 16:49:00,2019-07-19 16:49:00,135950,135920,40,30,1200,signal_reverse,0,000
455,Long,2019-08-30 13:59:00,2019-09-09 10:59:00,129260,134490,78,5230,407940,expiration,0,000
456,Short,2019-09-27 19:19:00,2019-10-01 19:19:00,133200,131910,40,1290,51600,signal_reverse,0,000
