num_trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor,max_drawdown_pct,sharpe,long_trades,short_trades,long_pnl_pct,short_pnl_pct,avg_bars_held,max_consecutive_loss,split,test_start,test_end,bars,tft_dirac,signal_coverage
226,0.1576,-0.398,0.000697,0.4381,1.002,20.5228,0.01,113,113,3.9755,-3.8178,3.1,9,17,2014-08-07 15:00:00,2014-11-28 14:00:00,720,,0.9083
226,19.7521,10.6779,0.087399,0.3938,1.129,37.5725,0.62,107,119,7.2261,12.526,3.1,10,18,2014-11-28 15:00:00,2015-03-30 14:00:00,720,,0.9125
223,6.4569,4.6622,0.028955,0.4529,1.064,10.4195,0.378,114,109,10.0743,-3.6173,3.1,8,19,2015-03-30 15:00:00,2015-07-24 14:00:00,720,,0.9111
229,1.0179,0.9837,0.004445,0.4323,1.011,19.8059,0.064,118,111,18.1684,-17.1505,3.0,7,20,2015-07-24 15:00:00,2015-11-16 14:00:00,720,,0.8986
233,-16.2384,-14.6822,-0.069693,0.412,0.868,37.0157,-0.812,122,111,-0.7943,-15.444,3.0,10,21,2015-11-16 15:00:00,2016-03-14 14:00:00,720,,0.9028
233,6.7264,6.4737,0.028869,0.4464,1.067,13.7402,0.37,126,107,17.468,-10.7416,3.0,8,22,2016-03-14 15:00:00,2016-07-12 14:00:00,720,,0.9125
234,-13.5658,-19.1513,-0.057974,0.3803,0.804,17.9408,-1.317,120,114,-3.6766,-9.8892,3.0,17,23,2016-07-12 15:00:00,2016-11-01 14:00:00,720,,0.8917
237,-6.2895,-9.4091,-0.026538,0.3966,0.919,16.5342,-0.488,118,119,4.919,-11.2085,2.9,11,24,2016-11-01 15:00:00,2017-02-24 17:00:00,720,,0.9028
222,11.4135,18.0398,0.051412,0.4414,1.149,8.2453,0.779,107,115,1.6727,9.7408,3.2,7,25,2017-02-24 18:00:00,2017-06-23 17:00:00,720,,0.9097
228,0.6449,2.4553,0.002828,0.4254,1.011,11.4085,0.06,129,99,14.5045,-13.8596,3.1,9,26,2017-06-23 18:00:00,2017-10-13 17:00:00,720,,0.8944
223,7.2996,17.2016,0.032734,0.4126,1.108,11.2719,0.517,120,103,13.3446,-6.045,3.1,10,27,2017-10-13 18:00:00,2018-02-08 17:00:00,720,,0.8944
234,10.8352,34.1891,0.046304,0.4274,1.101,28.0861,0.435,115,119,-0.1857,11.0209,3.0,10,28,2018-02-08 18:00:00,2018-06-05 18:00:00,720,,0.9139
224,5.6998,14.4927,0.025446,0.4286,1.056,17.9275,0.304,107,117,-0.922,6.6218,3.1,12,29,2018-06-06 10:00:00,2018-09-25 18:00:00,720,,0.8944
240,-9.533,-19.3654,-0.039721,0.3917,0.91,28.9075,-0.559,122,118,1.1934,-10.7263,2.9,11,30,2018-09-26 10:00:00,2019-01-21 18:00:00,720,,0.9181
221,-3.0339,-6.7909,-0.013728,0.4118,0.956,10.426,-0.254,114,107,4.4367,-7.4707,3.2,7,31,2019-01-22 10:00:00,2019-05-16 18:00:00,720,,0.8889
229,-19.8684,-45.3268,-0.086762,0.3755,0.742,26.5572,-1.635,115,114,-8.7715,-11.0969,3.0,11,32,2019-05-17 10:00:00,2019-09-06 18:00:00,720,,0.9056
228,-5.9179,-13.5929,-0.025956,0.3904,0.884,9.2383,-0.686,120,108,1.9833,-7.9012,3.0,9,33,2019-09-09 10:00:00,2019-12-30 18:00:00,720,,0.9069
228,-7.3347,-17.3486,-0.03217,0.4298,0.943,30.9051,-0.261,112,116,-14.9474,7.6127,3.1,10,34,2020-01-03 10:00:00,2020-04-28 18:00:00,720,,0.8972
233,6.1674,11.9833,0.026469,0.4549,1.095,9.6402,0.504,118,115,10.3806,-4.2132,3.0,8,35,2020-04-29 10:00:00,2020-08-03 22:00:00,720,,0.9
233,6.0909,13.8424,0.026141,0.3991,1.119,6.2072,0.498,116,117,-0.6122,6.7031,3.0,9,36,2020-08-03 23:00:00,2020-10-14 14:00:00,720,,0.8986
237,-4.7256,-15.9984,-0.019939,0.4051,0.934,11.5365,-0.385,135,102,10.0858,-14.8114,2.9,10,37,2020-10-14 15:00:00,2020-12-28 10:00:00,720,,0.8889
237,-10.8444,-30.4348,-0.045757,0.384,0.851,11.6508,-0.951,126,111,-2.591,-8.2534,3.0,7,38,2020-12-28 11:00:00,2021-03-15 19:00:00,720,,0.9056
235,-8.0019,-23.3445,-0.03405,0.4468,0.848,15.8652,-0.85,125,110,-0.875,-7.1269,3.0,8,39,2021-03-15 20:00:00,2021-05-27 11:00:00,720,,0.8792
234,-10.9381,-34.2275,-0.046744,0.3462,0.716,13.144,-1.909,127,107,-4.4024,-6.5356,3.0,13,40,2021-05-27 12:00:00,2021-08-06 17:00:00,720,,0.8806
