iter	Passed	Remaining
729	1944	3382
730	1945	3378
731	1947	3373
732	1949	3370
733	1951	3366
734	1953	3362
735	1955	3358
736	1957	3354
737	1959	3350
738	1960	3346
739	1963	3342
740	1965	3339
741	1967	3335
742	1969	3331
743	1971	3327
744	1972	3323
745	1974	3319
746	1976	3315
747	1978	3311
748	1980	3308
749	1982	3304
750	1984	3300
751	1986	3296
752	1988	3292
753	1990	3288
754	1991	3284
755	1993	3281
756	1996	3278
757	1998	3274
758	2000	3270
759	2002	3266
760	2003	3262
761	2005	3258
762	2007	3254
763	2009	3250
764	2011	3247
765	2013	3243
766	2015	3239
767	2017	3235
768	2019	3232
769	2021	3228
770	2023	3224
771	2025	3221
772	2027	3218
773	2029	3214
774	2031	3210
775	2033	3206
776	2035	3203
777	2036	3199
778	2038	3195
779	2040	3192
780	2042	3188
781	2044	3184
782	2046	3180
783	2047	3176
784	2049	3172
785	2051	3168
786	2053	3165
787	2056	3162
788	2058	3160
789	2061	3157
790	2063	3153
791	2065	3149
792	2066	3145
793	2068	3141
794	2072	3140
795	2074	3137
796	2075	3133
797	2077	3129
798	2080	3126
799	2082	3123
800	2084	3120
801	2086	3117
802	2089	3114
803	2090	3110
804	2092	3106
805	2094	3103
806	2096	3099
807	2098	3095
808	2100	3092
809	2102	3089
810	2104	3085
811	2106	3081
812	2108	3078
813	2110	3074
814	2111	3070
815	2113	3067
816	2116	3064
817	2118	3060
818	2120	3057
819	2121	3053
820	2123	3049
821	2125	3046
822	2127	3042
823	2129	3038
824	2131	3035
825	2132	3031
826	2134	3027
827	2136	3023
828	2138	3020
829	2139	3016
830	2141	3012
831	2143	3009
832	2145	3005
833	2147	3003
834	2150	2999
835	2151	2996
836	2154	2993
837	2156	2989
838	2158	2986
839	2159	2982
840	2162	2979
841	2164	2976
842	2166	2972
843	2167	2969
844	2169	2966
845	2172	2962
846	2173	2959
847	2175	2955
848	2178	2953
849	2180	2950
850	2182	2947
851	2184	2943
852	2186	2939
853	2188	2936
854	2189	2932
855	2191	2929
856	2193	2925
857	2195	2922
858	2197	2918
859	2198	2914
860	2200	2911
861	2202	2907
862	2204	2904
863	2206	2900
864	2208	2897
865	2209	2893
866	2211	2890
867	2213	2886
868	2215	2883
869	2217	2879
870	2218	2876
871	2220	2872
872	2222	2869
873	2224	2866
874	2226	2862
875	2228	2859
876	2230	2856
877	2232	2852
878	2233	2849
879	2235	2845
880	2238	2842
881	2240	2839
882	2242	2836
883	2244	2832
884	2245	2829
885	2248	2826
886	2249	2823
887	2251	2819
888	2253	2816
889	2255	2813
890	2258	2810
891	2260	2807
892	2262	2804
893	2264	2801
894	2266	2798
895	2269	2796
896	2271	2793
897	2273	2790
898	2275	2787
899	2277	2784
900	2279	2780
901	2281	2777
902	2283	2774
903	2285	2771
904	2287	2767
905	2289	2764
906	2291	2761
907	2293	2757
908	2295	2754
909	2297	2751
910	2299	2748
911	2301	2745
912	2303	2742
913	2305	2739
914	2306	2735
915	2308	2732
916	2310	2728
917	2312	2725
918	2314	2722
919	2316	2718
920	2317	2715
921	2319	2712
922	2321	2709
923	2324	2706
924	2325	2702
925	2327	2699
926	2330	2697
927	2332	2694
928	2334	2691
929	2336	2687
930	2338	2684
931	2339	2681
932	2341	2678
933	2343	2675
934	2345	2671
935	2347	2668
936	2349	2665
937	2351	2661
938	2352	2658
939	2354	2655
940	2356	2651
941	2358	2648
942	2361	2646
943	2363	2643
944	2365	2640
945	2366	2637
946	2368	2634
947	2371	2631
948	2373	2628
949	2375	2626
950	2377	2622
951	2379	2619
952	2381	2616
953	2383	2612
954	2385	2609
955	2386	2606
956	2388	2603
957	2391	2601
958	2393	2597
959	2395	2594
960	2396	2591
961	2398	2588
962	2400	2585
963	2402	2581
964	2404	2578
965	2406	2576
966	2408	2573
967	2410	2569
968	2412	2566
969	2414	2563
970	2415	2560
971	2418	2557
972	2420	2554
973	2422	2551
974	2424	2548
975	2425	2545
976	2427	2542
977	2429	2539
978	2431	2535
979	2433	2532
980	2435	2529
981	2437	2527
982	2439	2524
983	2441	2521
984	2443	2518
985	2445	2514
986	2447	2511
987	2449	2508
988	2451	2506
989	2453	2503
990	2455	2500
991	2457	2497
992	2459	2494
993	2461	2491
994	2463	2488
995	2465	2485
996	2467	2482
997	2469	2479
998	2471	2475
999	2473	2473
1000	2474	2470
1001	2476	2467
1002	2478	2464
1003	2481	2461
1004	2483	2458
1005	2485	2456
1006	2487	2453
1007	2490	2450
1008	2491	2447
1009	2493	2444
1010	2496	2441
