hour,minute,day_of_week,month,d1_volume,d1_tr,d1_adx,d1_ret_1d,d1_ret_5d,m1_volume,m1_ret_15m,m1_ret_60m,m1_ret_120m,is_long,entry_time,period,pnl_net,target
17,35,4,1,47127.0,4140.0,17.59717315880473,0.016671162665228056,0.04688888888888898,177.0,0.0,0.0036496350364962904,0.0038112620108432527,1,2007-01-26 17:35:00,train,-14040.0,0
14,37,1,1,36816.0,5850.0,15.904266363893692,-0.020323350403517737,-0.010855441256090947,10.0,0.0015002083622726037,0.005270496374790934,-0.005791665517526634,0,2007-01-30 14:37:00,train,-101530.0,0
16,42,3,2,50477.0,3300.0,14.923060893663946,0.009252183406113446,-0.002454815214459116,283.0,0.0009277667329357087,0.004255319148936065,0.0023359524315140767,1,2007-02-01 16:42:00,train,-85680.0,0
14,52,0,2,42527.0,3550.0,13.620267952975821,0.0056715305144317,-0.005817320347459853,1.0,-0.0011593733991210886,-0.006276824034334716,-0.004139784946236569,0,2007-02-12 14:52:00,train,-15400.0,0
15,37,1,2,43932.0,6495.0,13.378892729667669,-0.0335989832931769,-0.041491596638655426,201.0,0.0017808958445764134,-0.001989247311827924,0.008119043093382627,0,2007-02-13 15:37:00,train,-49440.0,0
14,45,2,2,57859.0,7985.0,13.623074490971577,0.027123287671232843,-0.02805143627501816,8.0,0.001698513800424628,-0.0030639197041733013,-0.00047666966792014875,0,2007-02-14 14:45:00,train,-67080.0,0
14,39,4,2,39053.0,2995.0,12.469927352405113,-0.0037104286729297,0.008094578762381621,184.0,0.0010554089709762238,0.0021130480718436484,0.006419438697013113,0,2007-02-16 14:39:00,train,-20800.0,0
15,42,4,2,39053.0,2995.0,12.469927352405113,-0.0037104286729297,0.008094578762381621,14.0,-0.00036731909534559737,0.004217185028993153,0.006339144215530945,0,2007-02-16 15:42:00,train,-30000.0,0
15,50,1,2,37998.0,3350.0,11.28201611305763,-0.0018377526909950648,0.04164383561643836,183.0,0.002686331314195378,0.004909465237818766,0.0017365679103300558,1,2007-02-20 15:50:00,train,-28700.0,0
18,44,3,2,41692.0,3045.0,10.566023657663507,0.013597296506213219,0.0023946738243729726,353.0,0.0059585492227980374,0.008309529992209796,0.009095634095634075,1,2007-02-22 18:44:00,train,-133500.0,0
14,29,2,2,87542.0,9185.0,10.254922973229434,-0.042687547360444555,-0.0031562335612835835,56.0,-0.0007311525129982677,-0.0055783119542955895,0.0012753025451783806,0,2007-02-28 14:29:00,train,76370.0,1
17,44,3,3,51212.0,6110.0,19.89070583484466,0.029412593323003167,0.03422020945372206,475.0,0.001631845054974379,-0.0011204780706435269,0.0016586409844836503,1,2007-03-22 17:44:00,train,116820.0,1
14,35,3,4,59153.0,3745.0,14.8588642280365,-0.013245033112582738,-0.015326741732963889,297.0,0.0002635740643119888,0.0011871784724970524,0.001874389503418783,0,2007-04-19 14:35:00,train,-116160.0,0
14,41,0,4,54961.0,5955.0,15.034668677541383,0.029852723034541118,-0.017959080575903008,44.0,0.001846674703121387,-0.0023242746219861443,0.0007942608250064431,1,2007-04-23 14:41:00,train,0.0,0
15,45,0,4,54961.0,5955.0,15.034668677541383,0.029852723034541118,-0.017959080575903008,184.0,-0.0015424164524421302,-0.005657817260182774,-0.007968941561095177,0,2007-04-23 15:45:00,train,-21750.0,0
14,36,3,4,67517.0,5200.0,13.581172516893352,0.014528219262770259,0.016649457924625688,194.0,0.0008442920738882531,-0.008390367553865685,-0.0076357179096905314,0,2007-04-26 14:36:00,train,100800.0,1
13,41,0,5,29143.0,1295.0,14.63895158037533,0.002261914047266167,-0.009583022891349602,43.0,0.0005444787264383688,-0.0006732960430909651,-0.0015523932729625267,0,2007-05-07 13:41:00,train,258200.0,1
15,36,0,6,72416.0,3645.0,21.455945507946236,0.0018420567879793293,0.04189928845101254,125.0,-0.0033757465593352576,-0.0031168831168830735,-0.0035051278722575407,1,2007-06-18 15:36:00,train,-46540.0,0
15,34,2,6,53710.0,3020.0,14.007752908575325,0.012229836584080056,0.01263019116677655,245.0,-0.0018926449713474458,-0.0013676292672663015,-0.003934942287513121,1,2007-06-27 15:34:00,train,0.0,0
14,36,3,6,58014.0,3260.0,13.108598999392468,-0.011509217789813508,-0.021547502448579836,65.0,-0.0010173736108937126,5.222886689471018e-05,-0.0011476564333967598,0,2007-06-28 14:36:00,train,-4800.0,0
14,29,4,6,62764.0,2490.0,12.515471210110654,0.008376797850482065,0.003144654088050425,10.0,-0.00039290672394376447,0.00023589232825727002,-0.0009947643979058007,0,2007-06-29 14:29:00,train,-12350.0,0
15,33,0,7,62516.0,2810.0,11.678482627683325,0.003396029258098121,0.003815596905707652,11.0,0.00028368794326238955,0.0019633169723585198,0.0056002074150893755,1,2007-07-02 15:33:00,train,542830.0,1
14,30,0,7,74908.0,3990.0,25.25518580358313,-0.012118320610687072,-0.00600067207527244,407.0,-0.002394636015325635,-0.0035876584549150436,-0.0033731250448554295,0,2007-07-23 14:30:00,train,265100.0,1
14,29,4,8,180278.0,9400.0,21.31534105664868,-0.03155522163786628,-0.010997442455242923,592.0,0.0007907221929361885,-0.00752783731507134,-0.008874967371443443,0,2007-08-10 14:29:00,train,71680.0,1
17,29,4,8,179727.0,3095.0,30.486907059655536,-0.0006653182882691011,0.0074044265593562475,910.0,0.002077922077922123,0.0060236251271219565,0.0047659973435425496,1,2007-08-31 17:29:00,train,-23660.0,0
16,29,0,9,143775.0,5205.0,29.633785823832948,0.022555990519560032,0.025040042712226374,37.0,-2.6001040041578882e-05,0.002580813347236699,-0.003368835678561277,1,2007-09-03 16:29:00,train,-40600.0,0
17,29,3,9,181684.0,2385.0,27.52857095367013,-0.005936347707837575,0.011603150947413265,1112.0,0.002206645898234605,0.009809050483913229,0.013733522399033582,1,2007-09-06 17:29:00,train,-75990.0,0
