trial,avg_trade,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,num_trades,total_pnl,win_rate,profit_factor,max_drawdown,sharpe
1663,1183.145896656535,285,255,40,115,280,380,1.0062902045771163,0.966956385620164,20,1,1,658,778510.0,0.5258358662613982,1.2296300010618593,182390.0,1.2433638312983102
1664,14458.713450292398,290,270,45,165,270,390,1.0107052328406465,0.9477253381476125,19,0,0,171,2472440.0,0.4093567251461988,1.7280190334852714,546390.0,1.9872487628238737
1665,10339.856321839081,280,265,40,135,280,370,0.9984612502398508,0.9596429463191896,25,0,0,174,1799135.0,0.3850574712643678,1.4444514438029739,654270.0,1.4424230682276866
1666,16811.777777777777,295,255,50,120,290,400,1.0145177422463094,0.962736824092576,27,0,0,135,2269590.0,0.43703703703703706,1.8115431581168082,539960.0,2.027912423113482
1667,16986.45945945946,285,260,30,125,270,370,1.0072721107902713,0.9379996128252743,15,0,1,185,3142495.0,0.3945945945945946,1.984998534645831,353310.0,2.3727009643432524
1668,13514.722222222223,275,275,35,115,280,380,1.0040173046685392,0.954064972262897,16,0,0,162,2189385.0,0.4074074074074074,1.6835622661302787,582000.0,1.9400839005501285
1669,15771.820809248555,290,270,40,125,260,400,1.011172187810559,0.9431760021609125,23,0,0,173,2728525.0,0.41040462427745666,1.8470431371818572,668635.0,2.216400299834649
1670,5706.546391752578,295,265,35,110,300,430,0.9991554073023706,0.9581493905133878,22,0,0,194,1107070.0,0.35051546391752575,1.2449893225046196,685870.0,0.9901042484318074
1671,14723.378378378378,280,260,45,120,290,370,1.00296588776061,0.9489518727352855,19,0,1,148,2179060.0,0.3783783783783784,1.6456579292403284,488530.0,1.6889732550721046
1672,21593.489208633095,285,250,40,130,280,390,1.0084377744513637,0.9657394225640771,18,0,0,139,3001495.0,0.4172661870503597,2.0072316770947114,593340.0,2.2834171092825786
1673,14993.12,300,245,50,135,290,390,1.019484670800177,0.9733182126974742,30,0,0,125,1874140.0,0.44,1.7251643009013575,444215.0,1.921121151465115
1674,10722.033492822966,285,240,25,135,130,390,1.0144399934250545,0.9796601354713649,18,0,0,209,2240905.0,0.39712918660287083,1.6654229668254326,262360.0,2.15950845323806
1675,8981.174698795181,275,250,45,140,250,380,1.014964878789707,0.9750792932755706,27,0,1,166,1490875.0,0.3493975903614458,1.4576317489843622,541255.0,1.4476814078398108
1676,17423.06818181818,290,245,35,135,270,390,1.010639855995491,0.9692728001348564,21,0,0,176,3066460.0,0.4318181818181818,2.0012750791414358,520720.0,2.498134606036123
1677,12991.6,280,250,40,130,300,400,1.0222217779792242,0.9701621886065935,26,0,0,125,1623950.0,0.416,1.6485876608788554,428365.0,1.7365911644173393
1678,11996.019736842105,295,250,40,135,230,380,1.0180857585980936,1.006717176972037,20,0,0,152,1823395.0,0.39473684210526316,1.574452332832936,614505.0,1.6910565607884893
1679,17414.38775510204,285,245,30,130,280,400,1.0099217295464713,0.9322303574893057,29,0,1,147,2559915.0,0.3877551020408163,1.8719398069066058,301225.0,2.255872502071761
1680,18325.8203125,290,250,45,140,290,390,1.0133743455764685,0.9659515565714327,16,0,0,128,2345705.0,0.421875,1.825746028281662,616065.0,2.052827132150141
1681,14343.57142857143,270,250,40,135,280,380,1.0080209000641527,0.9676933461564683,15,0,0,140,2008100.0,0.4,1.6529281132032527,581710.0,1.7783678362535937
1682,1393.9785714285715,280,245,40,130,260,390,1.0075046790110394,0.9725089056041785,24,1,1,700,975785.0,0.5328571428571428,1.2141271682135424,315080.0,1.1539824114189765
1683,14212.310126582279,295,240,45,50,270,370,1.0168016922157421,0.9451456403278752,22,0,0,158,2245545.0,0.3987341772151899,1.7488082832442706,562225.0,2.0046966947010363
1684,18535.22900763359,290,255,40,130,300,410,1.0119667322508044,0.9519708226279624,21,0,0,131,2428115.0,0.4122137404580153,1.810295403426573,658530.0,2.112526069802059
1685,19052.669491525423,285,255,95,130,290,400,1.0066726768963532,0.9643910892751747,20,0,0,118,2248215.0,0.4322033898305085,1.8187116720805232,392645.0,1.9223571776693247
1686,11135.777027027027,275,250,35,130,280,380,1.0120456432037037,0.9602813098073707,28,0,1,148,1648095.0,0.3918918918918919,1.5458632870138065,446125.0,1.7363976279282813
1687,13908.939393939394,285,280,35,45,270,370,1.0029849333540557,0.9553228000926306,19,0,0,198,2753970.0,0.3838383838383838,1.793509517031539,427275.0,2.255363896839323
1688,14422.622377622378,300,245,40,135,290,390,1.0083399813906537,0.9762184498530027,23,0,0,143,2062435.0,0.4195804195804196,1.6533629850680074,495135.0,1.9529025046383042
1689,13230.21164021164,265,275,30,130,260,380,1.0132446093212215,0.9484728803685138,20,0,0,189,2500510.0,0.3862433862433862,1.7801197395555473,321780.0,2.2963761884321445
1690,13225.15625,280,255,45,130,300,400,1.0178030272959318,0.9678985802980362,22,0,1,128,1692820.0,0.40625,1.5940626025375804,415120.0,1.551819717039787
1692,19527.12328767123,285,265,45,135,290,410,1.0019844095369197,0.9527583028397152,28,0,0,146,2850960.0,0.3972602739726027,1.9245122407981206,415045.0,2.241338900955055
1693,12687.919463087248,280,285,55,140,280,390,1.007558120044767,0.9416658122285111,27,0,0,149,1890500.0,0.436241610738255,1.5636511355759126,619820.0,1.662344372237161
1694,12996.822660098522,290,240,40,130,270,370,0.9999203733890112,0.9571128389943281,21,0,1,203,2638355.0,0.3842364532019704,1.5997481305856531,753690.0,1.906890554440309
1695,10161.567164179105,275,150,40,125,290,380,1.0107071937507452,0.9465001450204913,17,0,0,134,1361650.0,0.43283582089552236,1.5026560498503088,391280.0,1.590144766710186
1696,14089.104938271605,295,250,35,125,300,400,1.0044703060267717,0.9652397197791479,21,0,0,162,2282435.0,0.38271604938271603,1.7181646555385994,542225.0,2.105680854453425
1697,12143.672839506173,285,260,45,145,270,390,1.015263611297591,0.9709209108303242,15,0,1,162,1967275.0,0.3950617283950617,1.661016721351686,571035.0,1.7757914642088448
1698,18074.738805970148,275,270,50,130,280,370,1.007277161973596,0.9510865935407384,26,0,0,134,2422015.0,0.44029850746268656,1.8331980226289952,502345.0,1.9274011884861069
1699,10988.357664233577,235,275,40,125,300,380,1.0222156820791886,0.9884705933378072,25,0,0,137,1505405.0,0.3722627737226277,1.5115874825622788,472860.0,1.5166461115120227
1701,18058.154362416106,280,265,40,125,280,400,1.0040014603983987,0.9559912517020753,20,0,1,149,2690665.0,0.4161073825503356,1.8333689518252154,635390.0,2.0535019377790165
1702,14756.107142857143,295,275,45,130,280,410,1.009150274154977,0.9623821364748899,18,0,0,140,2065855.0,0.40714285714285714,1.647707000178712,455195.0,1.7674534258461958
1703,11976.935483870968,285,280,40,125,260,380,1.0009093740285877,1.0019508654288047,19,0,0,186,2227710.0,0.3817204301075269,1.5979129370526142,623880.0,1.7174428637671395
1705,10944.435483870968,270,260,30,130,270,390,1.0119703835919374,0.9671992940160616,24,0,1,186,2035665.0,0.3817204301075269,1.6230705660897111,382590.0,1.9655557557657466
1706,20231.696428571428,290,100,45,125,300,370,1.0168062635741995,0.936507334590045,20,0,0,112,2265950.0,0.4732142857142857,2.2083004500565235,180785.0,2.6333478351898614
1707,16848.4011627907,280,270,40,125,270,390,1.0055027306959534,0.9576130967801687,23,0,0,172,2897925.0,0.42441860465116277,1.8865382203309462,663605.0,2.1895292482809894
1708,5832.408256880734,285,255,25,135,290,410,0.99578403343819,0.9530204095276892,15,0,1,218,1271465.0,0.3669724770642202,1.2567635791586647,844305.0,1.0039675041381582
1709,13523.908450704226,295,265,40,140,310,380,1.009331252396683,0.9444992801714199,16,0,0,142,1920395.0,0.4084507042253521,1.5567064253029006,594560.0,1.6575795178515091
1710,15876.598639455782,270,245,40,160,280,370,1.0015242935248228,0.9731802091338493,30,0,0,147,2333860.0,0.3741496598639456,1.6951639422389553,674585.0,1.8733597573614904
1711,19012.868217054263,290,270,45,165,300,400,1.0131689233447834,0.9601003920742306,28,0,0,129,2452660.0,0.43410852713178294,1.8497282952323046,478710.0,2.1403009320510757
1712,7101.417910447762,280,260,35,170,260,350,0.9436809275786124,0.9660497938534701,21,0,1,201,1427385.0,0.373134328358209,1.298726412577029,579570.0,1.1974421604602477
1713,20545.77922077922,285,265,50,30,280,390,1.0051892958262527,0.9539976739702305,19,0,0,154,3164050.0,0.44155844155844154,1.990111557899019,515080.0,2.3271941649180183
1715,18336.666666666668,290,255,40,130,290,400,1.0100646319835473,0.9800114487828171,21,0,0,135,2475450.0,0.4074074074074074,1.8450812410706514,648505.0,2.200501138790995
1716,16816.655844155845,285,240,40,125,270,380,1.0183889117014684,0.9696214399798502,27,0,1,154,2589765.0,0.4090909090909091,2.0062693549577832,492425.0,2.48864178948251
1717,13506.858974358975,295,260,35,120,300,410,1.007731084705454,0.9492386018566354,26,0,0,156,2107070.0,0.391025641025641,1.6208019186178408,528595.0,1.9107292420471211
1719,11162.486910994765,280,255,35,120,110,390,1.0143644386777875,0.9570264338968011,22,0,0,191,2132035.0,0.39790575916230364,1.6194768818625842,675820.0,1.868847977399679
1720,8050.964467005077,290,270,30,145,280,380,0.9946220096525511,0.9520068718109775,20,0,1,197,1586040.0,0.350253807106599,1.3313884428583518,619820.0,1.2061753751397
1722,429.1166281755196,300,250,40,135,270,400,0.9870457476222433,0.9619541933787394,7,1,0,866,371615.0,0.49884526558891457,1.054419263290153,685480.0,0.3118622026802571
1724,10012.451612903225,295,270,45,130,280,380,1.0033157529738117,0.9748250170162313,17,0,0,155,1551930.0,0.3870967741935484,1.436879716127979,508725.0,1.4672791777579537
1725,16480.377906976744,290,265,40,120,260,390,1.0114252343667405,0.9655751510541934,21,0,0,172,2834625.0,0.4186046511627907,1.8803483969949284,647205.0,2.2920552568057717
1726,12051.573426573426,280,275,45,125,250,370,1.025642392457712,0.954246935449045,30,0,0,143,1723375.0,0.3706293706293706,1.5899110533765315,387920.0,1.5537396830348529
1727,15802.788944723618,285,250,30,85,240,410,1.005396645612952,0.969825323821779,23,0,1,199,3144755.0,0.38190954773869346,1.959650348796758,461010.0,2.3756890344932398
1729,16928.66935483871,290,255,40,125,300,390,1.0203271926335997,0.9562684221264274,20,0,0,124,2099155.0,0.41935483870967744,1.7874818759366835,632420.0,1.9115515779378833
1730,16159.65909090909,175,275,40,120,290,380,1.0006016908163935,0.9631492716921969,29,0,0,176,2844100.0,0.3977272727272727,1.7402789743696527,389180.0,2.1875756995374958
1731,4140.691823899371,275,245,45,160,270,410,1.0092501018039184,1.014904088037816,16,0,1,159,658370.0,0.3270440251572327,1.199866122453936,668765.0,0.7551684097755055
1734,15662.077464788732,295,260,35,120,300,400,1.011844547111801,0.9486851974482364,21,0,0,142,2224015.0,0.4014084507042254,1.7501627477898345,562570.0,2.0783101874302017
1735,7781.806167400881,280,235,20,195,290,390,0.9976595548194106,0.9671715240068923,20,0,1,227,1766470.0,0.3920704845814978,1.352669422452836,372830.0,1.4701109415736973
1736,5689.754464285715,280,280,25,125,270,380,1.0024459532583896,0.9590008942838608,19,0,0,224,1274505.0,0.36607142857142855,1.2727961549698683,717735.0,1.1003038345495582
1737,15357.095588235294,300,265,40,130,280,370,1.0079079528457466,0.9532859935248063,25,0,0,136,2088565.0,0.4264705882352941,1.647174567466275,547455.0,1.8554596819512954
