entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction
2009-09-07 18:02:00,2009-09-08 11:59:00,108465.0,111000.0,14,35490.0,expiration,long
2009-12-18 18:02:00,2009-12-23 18:02:00,142470.0,143340.0,10,8700.0,signal_reverse,long
2009-12-24 18:02:00,2010-01-21 18:02:00,145635.0,155385.0,17,165750.0,signal_reverse,long
2010-02-02 18:02:00,2010-02-04 18:02:00,149115.0,146440.0,13,-34775.0,signal_reverse,long
2010-03-18 18:02:00,2010-03-19 18:02:00,154965.0,152890.0,14,-29050.0,signal_reverse,long
2010-03-29 18:02:00,2010-04-08 18:02:00,154180.0,156970.0,14,39060.0,signal_reverse,long
2010-04-09 18:02:00,2010-04-12 18:02:00,160885.0,161505.0,18,11160.0,signal_reverse,long
2010-04-14 18:02:00,2010-04-19 18:02:00,163840.0,157780.0,19,-115140.0,signal_reverse,long
2010-04-26 18:02:00,2010-04-27 18:02:00,159650.0,156870.0,16,-44480.0,signal_reverse,long
2010-06-18 17:32:00,2010-06-24 17:32:00,140155.0,140790.0,10,6350.0,signal_reverse,long
2010-07-12 17:32:00,2010-07-16 17:32:00,138340.0,139195.0,14,11970.0,signal_reverse,long
2010-07-19 17:32:00,2010-07-20 17:32:00,139660.0,137755.0,13,-24765.0,signal_reverse,long
2010-07-22 17:32:00,2010-08-06 17:32:00,143860.0,149735.0,15,88125.0,signal_reverse,long
2010-09-03 17:32:00,2010-09-06 17:32:00,147615.0,147335.0,17,-4760.0,signal_reverse,long
2010-09-24 17:32:00,2010-10-12 17:32:00,148380.0,157140.0,21,183960.0,signal_reverse,long
2010-10-15 17:32:00,2010-10-18 19:42:00,158870.0,158395.0,19,-9025.0,signal_reverse,long
2010-10-21 17:32:00,2010-10-28 17:32:00,159375.0,158770.0,16,-9680.0,signal_reverse,long
2010-12-01 17:32:00,2010-12-08 11:29:00,163325.0,171995.0,15,130050.0,expiration,long
2010-12-22 17:32:00,2010-12-29 17:32:00,176580.0,176580.0,27,0.0,signal_reverse,long
