tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c
180,45,190,165,35,30,400,480,0.9893022337712343,0.9438341976373199,21,1,1,none,short,8.991573033707866,356,3201.0,0.5140449438202247,1.1787169895594887,115.36612021857924,-104.13372093023256,2933.0
240,120,265,95,65,150,350,490,1.0016995229062673,0.9617028769309599,19,1,0,none,short,8.985074626865671,469,4214.0,0.5287846481876333,1.1775811209439528,112.6774193548387,-110.37209302325581,1686.0
300,60,280,205,60,180,330,680,0.9983447647035043,0.9306873555450961,23,1,0,none,short,8.971544715447154,492,4414.0,0.5142276422764228,1.1154983384357746,168.50197628458497,-161.25316455696202,6748.0
150,45,105,175,65,175,150,630,0.9146286732408293,0.9452352671474326,22,1,1,none,short,8.970936490850377,929,8334.0,0.5016146393972013,1.0922688573231625,211.71030042918454,-195.92841648590021,6114.0
120,45,270,240,20,185,320,470,0.9798256249748821,0.9582551408296545,5,0,1,none,short,8.960365853658537,328,2939.0,0.4024390243902439,1.0615252569658147,384.1515151515151,-243.71938775510205,8266.0
120,90,220,210,25,120,190,490,0.9589756266678358,0.9811463879569785,5,1,0,none,short,8.949180327868852,610,5459.0,0.5360655737704918,1.1178795076657309,158.31498470948011,-165.98566308243727,6407.0
240,120,270,185,80,80,390,690,0.9370958187191197,0.9803623108996123,8,1,0,none,short,8.942446043165468,556,4972.0,0.49640287769784175,1.2022206857282303,107.09782608695652,-89.08333333333333,1496.0
300,45,30,255,30,170,410,520,0.9486152862696409,0.9390567652334098,18,1,0,none,short,8.940963855421687,830,7421.0,0.516867469879518,1.1676948455471945,120.45221445221445,-111.75,3237.0
240,90,50,55,40,140,140,310,0.9211073246588858,0.9497864993426618,27,1,1,none,short,8.934659090909092,704,6290.0,0.4928977272727273,1.132986595627722,154.43227665706053,-133.2338028169014,3137.0
180,45,190,60,45,195,190,610,0.9857377202452404,0.9921236048005637,29,1,1,none,short,8.908212560386474,621,5532.0,0.47987117552334946,1.1135537902580208,182.04362416107384,-153.6813880126183,5047.0
180,90,65,65,75,40,330,610,0.9810409460339915,0.9919660490967547,17,1,1,none,short,8.905710491367861,753,6706.0,0.5205843293492696,1.135207064801,143.6326530612245,-140.10734463276836,4318.0
180,90,30,270,35,55,170,510,0.915567230372403,0.9819100661088214,7,1,0,none,short,8.903225806451612,930,8280.0,0.4989247311827957,1.1017636575923309,193.20043103448276,-176.8804347826087,7559.0
300,120,220,245,70,135,150,610,1.0075739786930629,0.9851771272588985,14,1,1,none,short,8.902485659655833,523,4656.0,0.5411089866156787,1.1112837304906904,164.29328621908127,-175.05857740585773,6175.0
210,120,45,75,45,115,350,580,0.9423587047783039,0.98292344551775,28,1,0,none,short,8.89937106918239,795,7075.0,0.5031446540880503,1.1269422614562026,157.0225,-142.17857142857142,4935.0
300,90,140,260,75,75,260,460,0.9203739473152626,0.9106189588994896,16,1,0,none,short,8.8990099009901,505,4494.0,0.5069306930693069,1.1080652142547973,180.0,-167.68548387096774,4518.0
180,90,110,135,30,40,120,550,0.9287347641781046,1.0024991151681193,24,1,1,none,short,8.893577981651376,545,4847.0,0.48256880733944957,1.0863300382937038,231.9087452471483,-201.23655913978496,6166.0
210,120,160,40,85,160,60,690,0.9841407581915006,0.9502377145725857,18,1,0,none,short,8.886666666666667,600,5332.0,0.5066666666666667,1.090977340977341,210.32894736842104,-199.3469387755102,6553.0
210,90,165,65,75,170,320,450,1.00219783913856,0.9616812301415144,11,1,0,none,short,8.884279475982533,458,4069.0,0.5414847161572053,1.1549209975252237,122.31451612903226,-126.27403846153847,2963.0
150,60,160,65,40,70,340,450,0.9212653471885984,1.0062279228114819,11,1,1,none,short,8.863492063492064,315,2792.0,0.5587301587301587,1.1051917715319117,166.67045454545453,-195.16176470588235,4241.0
240,60,295,190,5,25,100,420,0.9149501548005692,1.000269931972374,10,0,0,none,short,8.862527716186253,451,3997.0,0.35920177383592017,1.0716552231046415,369.0,-193.68402777777777,9065.0
210,60,95,255,85,30,320,470,0.9521060439895297,0.9226629355119922,15,1,0,none,short,8.861971830985915,355,3146.0,0.5267605633802817,1.1445041569059757,133.24598930481284,-131.15060240963857,4794.0
240,45,75,20,65,145,310,440,0.9906921065492342,0.9091184370356244,5,1,1,none,short,8.860674157303372,445,3943.0,0.5101123595505618,1.1481439735497445,134.62114537444933,-123.7953488372093,3250.0
180,120,290,260,5,100,450,650,0.9643843432638773,0.9476332372648794,30,1,1,none,short,8.860113421550095,529,4687.0,0.4952741020793951,1.2236164122137405,97.88931297709924,-78.796992481203,2128.0
300,60,275,210,80,35,100,430,0.9882353107809423,0.9089583722320732,12,1,0,none,short,8.858942065491183,397,3517.0,0.47858942065491183,1.1068996960486321,191.66842105263157,-158.93719806763286,4816.0
240,45,240,200,10,190,370,620,0.9981235043467861,0.962599042700359,24,1,1,none,short,8.858,500,4429.0,0.512,1.1437380326485573,137.6640625,-127.85477178423237,3600.0
180,45,70,80,15,55,70,310,0.9427894951405296,0.9811321382966143,22,1,0,none,short,8.851572327044025,795,7037.0,0.48427672955974843,1.1515321174013222,138.8987012987013,-114.9480198019802,4561.0
210,45,200,60,55,30,170,240,0.9443019463861775,0.9000072238402762,10,1,1,none,short,8.850993377483444,604,5346.0,0.4685430463576159,1.1917091013411747,117.42756183745583,-88.24683544303798,2651.0
180,120,110,175,30,120,350,620,1.009863616455168,0.9893193380235016,8,1,1,none,short,8.848178137651821,494,4371.0,0.5101214574898786,1.13456269433242,146.24603174603175,-137.0590717299578,2375.0
210,60,255,125,55,40,130,250,0.9209345614535612,0.9535812732191974,19,1,1,none,short,8.836330935251798,556,4913.0,0.4802158273381295,1.167313717477183,128.37827715355806,-102.67132867132867,2778.0
150,45,235,185,75,40,260,690,0.9375432425622472,0.9490863520080312,24,1,1,none,short,8.835034013605442,588,5195.0,0.49489795918367346,1.0981151318274534,199.8041237113402,-178.27609427609428,7850.0
150,90,50,20,90,15,380,550,0.9902489606995147,0.913101108413089,13,1,0,none,short,8.834697217675942,611,5398.0,0.502454991816694,1.2678775246886012,83.2214983713355,-67.84848484848484,2432.0
210,90,205,235,5,30,460,670,0.9509780765634055,0.987124970615793,27,0,0,none,short,8.832236842105264,304,2685.0,0.3980263157894737,1.0508272441600728,458.7685950413223,-288.6666666666667,6707.0
120,45,215,290,35,170,240,440,0.9607433545217633,0.9259249600380087,13,1,1,none,short,8.82952815829528,657,5801.0,0.5098934550989346,1.1346345765544132,145.93432835820894,-134.646875,5603.0
150,45,290,90,70,75,120,520,0.9800667694630438,0.9147869694251626,17,1,1,none,short,8.829160530191459,679,5995.0,0.4477172312223859,1.090658883663254,237.2434210526316,-176.8101604278075,6208.0
210,60,80,70,55,175,390,640,0.9408430388895941,0.9936550863360234,11,1,0,none,short,8.82670906200318,629,5552.0,0.5182829888712241,1.1437597099948213,135.49693251533742,-127.88079470198676,3072.0
300,120,295,155,55,90,270,490,0.9001654124546633,0.9587635209230242,19,1,1,none,short,8.823909531502423,619,5462.0,0.5379644588045234,1.149031377899045,126.46246246246247,-130.4270462633452,4077.0
120,45,170,175,95,160,410,640,0.9341555510778288,1.0044939609264971,8,1,1,none,short,8.821763602251407,533,4702.0,0.5272045028142589,1.1405428024868485,135.7935943060498,-133.29083665338646,4548.0
120,45,50,125,10,25,150,280,0.9148115366738148,0.9265084161902828,30,1,1,none,short,8.819397993311037,598,5274.0,0.4916387959866221,1.1886873457121392,113.01020408163265,-92.55298013245033,3734.0
120,45,85,265,5,35,170,610,1.0022873494845261,0.9010636682105774,8,1,0,none,short,8.814903846153847,832,7334.0,0.4326923076923077,1.1293428803216818,177.87777777777777,-120.89978678038379,3907.0
180,90,230,75,90,145,370,640,0.9929531474668081,0.9878927767962498,14,1,0,none,short,8.814893617021276,470,4143.0,0.5170212765957447,1.1935800392486684,105.12345679012346,-95.97309417040358,2187.0
150,90,65,80,5,125,330,450,0.926160844900755,0.9871545266837717,14,1,1,none,short,8.80276134122288,507,4463.0,0.5364891518737672,1.1593245751820649,119.39338235294117,-120.74137931034483,3544.0
300,90,80,70,5,170,200,420,0.9204638091483928,0.997309935898034,29,1,0,none,short,8.796068796068797,407,3580.0,0.47665847665847666,1.1211628930179036,170.7577319587629,-138.71830985915494,3155.0
150,60,215,135,35,120,250,370,0.9801266653374532,0.9443117000865693,30,1,1,none,short,8.794376098418278,569,5004.0,0.5131810193321616,1.151246788574883,130.4417808219178,-122.53703703703704,4115.0
210,120,225,160,30,105,290,560,0.9487288616199684,0.99816254777245,11,1,1,none,short,8.789272030651341,522,4588.0,0.5172413793103449,1.1311081899754243,146.6,-139.976,5362.0
240,120,80,160,10,135,450,540,0.9361454911809001,0.9435919437639761,21,1,1,none,short,8.784070796460178,565,4963.0,0.5486725663716814,1.2959451401311866,70.10645161290323,-66.54761904761905,2291.0
240,120,55,175,85,195,260,670,0.9528271415368826,1.0082640493571449,21,1,0,none,short,8.777978339350181,554,4863.0,0.5072202166064982,1.127537372147915,153.0,-140.70110701107012,3698.0
300,45,220,35,90,155,120,490,0.9759902428155208,0.9656907533550974,26,1,0,none,short,8.77710843373494,664,5828.0,0.4743975903614458,1.0992591331005706,204.8984126984127,-168.7212643678161,5429.0
150,120,100,285,90,145,230,650,0.9625248647127054,0.9589043336188591,26,1,0,none,short,8.773635153129161,751,6589.0,0.5246338215712384,1.1053430965018864,175.4746192893401,-175.69662921348313,4867.0
240,60,170,25,20,30,70,610,0.9093161611881876,0.9163574105568087,5,0,0,none,short,8.758620689655173,435,3810.0,0.4114942528735632,1.0497915550386179,448.76536312849163,-300.07450980392156,14260.0
210,60,255,265,55,140,200,510,0.9612563713392103,1.0017822566877297,29,1,1,none,short,8.754560530679933,603,5279.0,0.5041459369817579,1.102618432051008,186.58552631578948,-173.20875420875421,4286.0
120,90,200,230,15,140,470,690,0.9992494468087674,0.9595930172517992,29,1,1,none,short,8.747203579418345,447,3910.0,0.4697986577181208,1.2280415257202846,100.26666666666667,-73.58798283261802,2306.0
300,120,295,125,5,30,450,540,0.9740766277039933,0.9956583131301264,23,1,0,none,short,8.731707317073171,451,3938.0,0.5144124168514412,1.2698369192818966,79.87931034482759,-67.87906976744186,1260.0
300,90,125,90,60,150,150,290,0.9782040796048335,0.9562709150679163,15,1,1,none,short,8.721893491124261,676,5896.0,0.48520710059171596,1.1325301204819278,153.609756097561,-129.70262390670553,2876.0
240,60,205,45,60,190,390,460,0.9295535149990778,0.9174066400063793,11,1,1,none,short,8.715151515151515,495,4314.0,0.503030303030303,1.190438352536088,108.3012048192771,-92.08536585365853,2512.0
180,60,250,170,30,125,450,680,0.9797409886197812,0.971510185239028,18,1,1,none,short,8.713298791018998,579,5045.0,0.5302245250431779,1.2187581302575665,91.55374592833876,-85.09963099630997,2326.0
210,45,280,190,45,40,370,590,0.986000619877996,0.9600345240219318,20,1,1,none,short,8.706467661691542,402,3500.0,0.5298507462686567,1.1391539440203562,134.51643192488262,-133.7872340425532,5596.0
240,60,200,170,25,30,270,510,0.9965781221736844,0.9655078808387807,28,1,1,none,short,8.698564593301436,418,3636.0,0.4784688995215311,1.128685188462219,159.455,-131.41860465116278,3787.0
150,90,35,210,45,120,160,590,0.9321809026119134,0.9010550336268011,6,1,0,none,short,8.692307692307692,975,8475.0,0.49333333333333335,1.093797728932864,205.46569646569645,-184.77300613496934,6131.0
240,120,145,180,65,75,280,430,0.9410123690987677,0.9135885643605289,9,1,1,none,short,8.690522243713733,517,4493.0,0.5145067698259188,1.137111294210992,140.08270676691728,-132.66801619433198,3194.0
150,90,260,120,10,130,200,300,0.9282528528926117,0.9799429243412042,18,1,1,none,short,8.689277899343544,457,3971.0,0.4923413566739606,1.1811339688911189,115.08444444444444,-95.73362445414847,3190.0
300,90,150,215,20,35,450,620,0.9954216198114301,0.9110250006021076,25,1,0,none,short,8.688636363636364,440,3823.0,0.48863636363636365,1.247043618739903,89.75813953488372,-70.3409090909091,1236.0
150,120,100,195,95,115,100,590,0.9872086280940049,1.0008360209169627,25,1,1,none,short,8.6875,752,6533.0,0.4946808510638298,1.0909622533799306,210.6290322580645,-191.01329787234042,5032.0
300,120,110,190,90,125,140,600,0.9697743644560638,0.904056557173178,28,1,0,none,short,8.6875,672,5838.0,0.5267857142857143,1.1087555886736216,168.12994350282486,-169.33753943217667,4928.0
150,45,90,130,5,170,120,580,0.9808211791383801,0.9589523595851905,6,1,1,none,short,8.673245614035087,912,7910.0,0.4331140350877193,1.1120587068623562,198.72911392405064,-137.59844054580896,6542.0
300,60,160,25,15,65,410,550,0.979005708278152,0.9637989328174857,30,1,0,none,short,8.673076923076923,572,4961.0,0.5,1.1544761015101976,129.63636363636363,-113.08098591549296,3245.0
180,90,200,180,10,25,80,200,1.005252569373938,0.9985804209645509,19,1,0,none,short,8.66842105263158,380,3294.0,0.48157894736842105,1.1655276381909547,126.7431693989071,-103.10880829015544,2410.0
180,120,60,165,30,145,280,510,0.9795604605914233,0.9594378505331465,13,1,1,none,short,8.658823529411764,680,5888.0,0.5205882352941177,1.1396054628224583,135.77401129943502,-130.57585139318886,3408.0
180,120,245,285,55,100,100,170,0.9705924287194463,0.9962432606375721,7,1,1,none,short,8.655804480651732,491,4250.0,0.5010183299389002,1.2096798066012138,99.67073170731707,-84.10373443983403,3533.0
180,45,200,120,30,15,410,620,0.921474576983141,0.9018686983711054,8,0,1,none,short,8.646153846153846,325,2810.0,0.4369230769230769,1.0463405785151225,446.8169014084507,-331.3551912568306,20116.0
240,60,225,75,90,155,480,610,0.9329785601409006,0.9753754497337656,23,1,0,none,short,8.642335766423358,548,4736.0,0.4927007299270073,1.2493025214507554,87.9,-70.35925925925926,3046.0
150,60,130,160,80,50,310,690,0.9234139700993913,0.9896602410389588,8,1,0,none,short,8.633333333333333,600,5180.0,0.5083333333333333,1.1255544513658289,152.25245901639343,-140.80887372013652,3645.0
240,45,180,295,100,120,160,600,0.9511303651833191,0.9600946736528762,13,1,0,none,short,8.629522431259044,691,5963.0,0.4717800289435601,1.094454388493767,211.94478527607362,-173.9146005509642,4881.0
180,90,155,225,60,195,350,550,0.9639071351325565,0.9530298499179162,11,1,1,none,short,8.626356589147287,645,5564.0,0.5162790697674419,1.1269247439377694,148.35135135135135,-140.50320512820514,3411.0
300,60,295,75,15,165,340,570,0.9185446675352733,1.0025645682401856,10,1,1,none,short,8.619808306709265,313,2698.0,0.4984025559105431,1.1246938115265517,155.99358974358975,-138.69871794871796,2669.0
120,60,65,110,25,25,410,520,0.9714071105084363,0.9632349070339302,30,1,0,none,short,8.617312072892938,439,3783.0,0.5034168564920274,1.167604448185725,119.24886877828054,-104.01382488479263,1891.0
120,90,160,275,85,195,220,630,0.9931686554652353,0.9272908410064993,28,1,0,none,short,8.571428571428571,616,5280.0,0.5097402597402597,1.1091179631313548,170.9171974522293,-160.75747508305648,4559.0
150,60,170,185,10,200,230,430,0.9904474470019797,0.9436157500066454,6,1,0,none,short,8.563607085346217,621,5318.0,0.5024154589371981,1.115691691865904,164.375,-151.20723684210526,3324.0
120,90,70,40,80,95,360,540,0.9627275807517933,0.9871532585078996,20,1,1,none,short,8.554528650646951,541,4628.0,0.5175600739371534,1.135822034395727,138.22142857142856,-133.6235294117647,2974.0
180,120,110,145,60,160,420,620,0.937411501816996,0.9808651227831677,20,1,0,none,short,8.550918196994992,599,5122.0,0.5325542570951586,1.2328711070697886,85.00626959247649,-79.98181818181818,3357.0
300,120,180,130,95,115,90,670,0.9410547406772074,0.9572094275262546,8,1,1,none,short,8.542492917847026,706,6031.0,0.5,1.0761278432758576,241.5099150141643,-225.0625,9873.0
150,90,40,75,80,40,70,430,0.9595397581571905,0.9526506498436855,20,1,0,none,short,8.541666666666666,768,6560.0,0.49609375,1.0956574994896322,197.21259842519686,-179.05483028720627,5326.0
210,90,260,125,5,175,450,630,0.9429884127613463,0.9545268462872748,8,1,0,none,short,8.540441176470589,544,4646.0,0.5294117647058824,1.2245854884710206,87.96180555555556,-80.80859375,2703.0
150,90,55,30,55,160,370,530,0.9162738137897062,0.9519710690504251,29,1,1,none,short,8.540322580645162,496,4236.0,0.49193548387096775,1.2370851290087872,90.5860655737705,-72.9265306122449,2218.0
210,60,180,65,60,35,100,540,0.9055380185169277,0.9600438811993276,10,1,0,none,short,8.53921568627451,816,6968.0,0.46691176470588236,1.0894594941584286,222.7244094488189,-179.88452655889145,6455.0
210,45,175,290,10,185,310,380,1.0021678192187111,1.0024602919262169,26,1,0,none,short,8.537037037037036,432,3688.0,0.5069444444444444,1.1720149253731342,114.73972602739725,-102.0952380952381,3616.0
210,45,60,20,80,125,320,600,0.9226582622770481,0.9137841619134618,17,1,1,none,short,8.535483870967742,465,3969.0,0.5053763440860215,1.1105170829504636,169.71063829787235,-156.14347826086956,4838.0
210,45,165,190,70,160,310,400,0.9948521341935237,0.9608088215800465,12,1,1,none,short,8.534420289855072,552,4711.0,0.5181159420289855,1.1783996667550272,108.8041958041958,-100.79007633587786,2972.0
240,90,185,50,80,125,390,670,0.9920858417509387,0.9845845200955134,27,1,0,none,short,8.533333333333333,510,4352.0,0.48823529411764705,1.1740591129064513,117.89156626506023,-96.9108527131783,2137.0
300,45,225,30,25,35,100,450,0.933425074166424,0.9820475203145588,12,1,1,none,short,8.527932960893855,716,6106.0,0.4581005586592179,1.1039690783088423,197.66768292682926,-153.33942558746736,8910.0
180,120,170,55,85,40,130,420,0.9546423829484257,0.938246931886388,29,1,1,none,short,8.524613220815752,711,6061.0,0.4908579465541491,1.0999686618614855,191.0888252148997,-167.94736842105263,7586.0
180,60,275,170,55,100,350,600,0.9604392585698518,0.9124624000367347,5,1,1,none,short,8.517367458866545,547,4659.0,0.4990859232175503,1.1122434229546112,169.1098901098901,-153.16605166051662,6474.0
240,45,170,125,80,80,220,530,0.948090143986604,0.9798849823592022,29,1,1,none,short,8.513868613138687,685,5832.0,0.4744525547445255,1.0981719018280982,200.7323076923077,-165.47632311977716,4918.0
150,90,240,185,10,155,320,540,0.9401218655366581,0.991203871802206,25,1,1,none,short,8.5098814229249,506,4306.0,0.5138339920948617,1.1326351455413521,141.4269230769231,-133.6008230452675,3547.0
150,45,165,175,75,110,60,460,0.957200628641055,0.9857047277364058,21,1,0,none,short,8.508034610630409,809,6883.0,0.49443757725587145,1.1006330687018437,188.2,-168.88148148148147,6212.0
240,60,295,70,95,95,330,470,0.908492723400263,0.9752202874944506,20,1,1,none,short,8.505582137161085,627,5333.0,0.5215311004784688,1.1300477955520873,141.71559633027522,-137.1505016722408,6298.0
120,45,185,70,20,75,290,650,0.9189739594503763,0.9224187130577757,13,1,1,none,short,8.504950495049505,707,6013.0,0.45544554455445546,1.1051793804334518,196.2173913043478,-149.266318537859,6099.0
300,120,120,210,65,160,140,690,1.0101126170295356,0.961509569864895,8,1,1,none,short,8.491935483870968,496,4212.0,0.49798387096774194,1.0932394740337361,199.94331983805668,-182.15322580645162,6204.0
150,60,70,205,80,145,130,440,0.9866812963332643,0.9506858479211802,25,1,0,none,short,8.490790899241604,923,7837.0,0.5135427952329361,1.104746120637806,174.37974683544303,-167.7556053811659,6513.0
