trades,net_pnl,pf,max_dd_pct,win_rate,long_idx,short_idx,threshold,auc,base_trades
23,840976.6479999999,1.488415792640824,10.618006323924485,0.6086956521739131,2,6,0.5,0.7003676470588235,155
11,1538888.02,6.291609242167161,2.8997787707965985,0.7272727272727273,2,6,0.52,0.7003676470588235,155
31,181393.468,1.0635128706002135,18.218125012688382,0.4838709677419355,2,7,0.48,0.6588021778584392,154
29,-48027.13199999987,0.9830288092561754,20.666285730220757,0.4827586206896552,2,7,0.5,0.6588021778584392,154
29,-48027.13199999987,0.9830288092561754,20.666285730220757,0.4827586206896552,2,7,0.52,0.6588021778584392,154
34,1470815.9079999996,1.6306850501017338,10.806207166894776,0.5,2,8,0.48,0.5727272727272728,151
23,-401208.45200000005,0.7970206509308193,17.205170379553106,0.4782608695652174,2,8,0.5,0.5727272727272728,151
10,6731.340000000014,1.0076615624791567,10.889816304463684,0.5,2,8,0.52,0.5727272727272728,151
92,1929883.828000001,1.351649870471576,17.252498563346368,0.41304347826086957,2,9,0.48,0.4891826923076923,252
48,-1429079.692,0.5942696422600837,32.97335985588066,0.375,2,9,0.5,0.4891826923076923,252
0,0.0,0.0,0.0,,2,9,0.52,0.4891826923076923,252
47,205343.42799999999,1.0671951186887878,20.57560597504603,0.48936170212765956,2,10,0.48,0.6983695652173912,163
19,1559111.5479999997,3.3178154476333144,6.878521203014013,0.7368421052631579,2,10,0.5,0.6983695652173912,163
0,0.0,0.0,0.0,,2,10,0.52,0.6983695652173912,163
64,1093717.4039999999,1.2667132317750118,22.025692090915715,0.390625,2,11,0.48,0.6047570850202428,198
30,1717998.5639999998,1.9078655443874966,8.457697847003784,0.5,2,11,0.5,0.6047570850202428,198
5,427482.50000000006,3.3187377956172703,3.169974592004856,0.6,2,11,0.52,0.6047570850202428,198
52,1410916.0279999997,1.3681008226284992,14.90857735352952,0.4807692307692308,2,12,0.48,0.6559139784946236,188
39,414031.748,1.1382898972822397,14.44071568338862,0.5641025641025641,2,12,0.5,0.6559139784946236,188
31,614461.8079999997,1.2666371460532482,12.069469611775329,0.5806451612903226,2,12,0.52,0.6559139784946236,188
39,-455860.25199999986,0.8488369704118799,22.523008375948482,0.4358974358974359,2,13,0.48,0.6032608695652174,208
34,-114322.35199999998,0.9572490594829525,17.04931013243328,0.5,2,13,0.5,0.6032608695652174,208
30,-208826.09199999992,0.9170962963637685,17.644397274810313,0.4666666666666667,2,13,0.52,0.6032608695652174,208
38,2410696.008,1.991753427620631,12.766289680311896,0.47368421052631576,2,14,0.48,0.6598214285714286,158
21,1909154.8880000007,2.1680902898498187,11.03511941747671,0.47619047619047616,2,14,0.5,0.6598214285714286,158
14,368597.828,1.2733381750811954,10.337436993727739,0.5,2,14,0.52,0.6598214285714286,158
26,938271.288,1.4396871215349805,13.58484419279633,0.5,2,15,0.48,0.6066666666666667,160
19,-286177.5319999999,0.8339790230889681,17.67671118150019,0.5263157894736842,2,15,0.5,0.6066666666666667,160
15,115684.12800000008,1.093548264943285,11.54534329173069,0.6,2,15,0.52,0.6066666666666667,160
61,2165885.5079999994,1.5616118226826123,12.280821302831344,0.39344262295081966,2,16,0.48,0.5027777777777778,186
36,826791.2280000001,1.3289714251672238,10.788610658028142,0.3611111111111111,2,16,0.5,0.5027777777777778,186
0,0.0,0.0,0.0,,2,16,0.52,0.5027777777777778,186
20,565844.7400000002,1.4879869408530524,13.130552486688032,0.5,2,17,0.48,0.7362637362637363,133
12,1126891.38,3.6106998971836477,6.22642150690104,0.75,2,17,0.5,0.7362637362637363,133
2,259313.80000000002,inf,0.0,1.0,2,17,0.52,0.7362637362637363,133
31,1455380.1,1.7665521029386206,8.608684674166591,0.45161290322580644,2,18,0.48,0.6686507936507937,268
25,1782462.3399999999,2.309525771798636,7.779970692892091,0.52,2,18,0.5,0.6686507936507937,268
22,1870125.6,2.508680071687662,5.606417096803506,0.5454545454545454,2,18,0.52,0.6686507936507937,268
70,1449567.668,1.2692684385033095,23.313088811167713,0.37142857142857144,2,19,0.48,0.5671875000000001,259
36,2573015.7800000003,2.1685342390603477,16.679997613183197,0.3888888888888889,2,19,0.5,0.5671875000000001,259
9,3990152.02,24.066398520846956,1.5423207115605768,0.7777777777777778,2,19,0.52,0.5671875000000001,259
37,-188320.31200000012,0.9381776770958007,21.94158166910315,0.4594594594594595,2,20,0.48,0.587121212121212,160
26,192217.20799999996,1.0963658105156782,12.513993714701341,0.5,2,20,0.5,0.587121212121212,160
12,-11100.632000000012,0.9894552472125366,10.066371766168574,0.5,2,20,0.52,0.587121212121212,160
43,1022250.5480000001,1.3672940231815784,15.078398313055327,0.3953488372093023,2,21,0.48,0.5790441176470589,183
14,1394967.9999999998,2.6979895099575066,11.219155911153704,0.5714285714285714,2,21,0.5,0.5790441176470589,183
4,216589.52000000002,2.0674404653831924,3.8629266550561066,0.5,2,21,0.52,0.5790441176470589,183
33,-682144.6320000001,0.7981370026118596,29.244769854069563,0.45454545454545453,2,22,0.48,0.717948717948718,152
25,-560985.22,0.7398550319043052,17.304241913098277,0.48,2,22,0.5,0.717948717948718,152
21,-472410.3199999999,0.7393379062603662,12.969827514172072,0.5238095238095238,2,22,0.52,0.717948717948718,152
64,2623136.8200000003,1.7016487302008025,12.491744521946105,0.359375,2,23,0.48,0.5380208333333334,199
39,1826651.4000000001,1.76101023252912,14.267064481206743,0.38461538461538464,2,23,0.5,0.5380208333333334,199
0,0.0,0.0,0.0,,2,23,0.52,0.5380208333333334,199
41,602197.6680000001,1.2763025541973183,11.167254240171514,0.5121951219512195,2,24,0.48,0.5851851851851853,193
33,756597.108,1.4281616248652484,11.707439575799619,0.5454545454545454,2,24,0.5,0.5851851851851853,193
23,-151701.652,0.9012485993727766,12.289891796100406,0.5217391304347826,2,24,0.52,0.5851851851851853,193
49,2660521.3400000003,1.8286768298478198,12.386249158458114,0.42857142857142855,3,0,0.48,0.613425925925926,192
41,1560715.6800000002,1.5589203213243512,12.636479259395022,0.4634146341463415,3,0,0.5,0.613425925925926,192
18,275711.99999999994,1.2163048878399312,10.113233737911415,0.6111111111111112,3,0,0.52,0.613425925925926,192
30,1349073.02,1.5266495999791632,20.3280500796362,0.4666666666666667,3,1,0.48,0.5391705069124424,179
21,1160252.84,1.5828572929317188,20.568669237889363,0.42857142857142855,3,1,0.5,0.5391705069124424,179
17,1014771.4400000001,1.6405671347643218,16.419748866334437,0.35294117647058826,3,1,0.52,0.5391705069124424,179
57,41390.71200000003,1.0100654698060263,29.309283586900587,0.38596491228070173,3,2,0.48,0.5688405797101449,202
55,47913.51200000025,1.0119446539418469,29.280507040844412,0.38181818181818183,3,2,0.5,0.5688405797101449,202
49,871408.7119999996,1.276361417929088,24.041689149412043,0.40816326530612246,3,2,0.52,0.5688405797101449,202
