entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction,pnl_1c
2012-08-21 18:02:00,2012-08-22 18:02:00,144015.0,142565.0,40,58000.0,signal_reverse,short,1450.0
2012-09-06 18:02:00,2012-09-07 16:02:00,142515.0,147385.0,40,-194800.0,close_opposing,short,-4870.0
2012-09-07 18:02:00,2012-09-10 12:00:00,146565.0,145830.0,40,29400.0,expiration,short,735.0
2012-09-18 18:02:00,2012-09-24 18:02:00,155060.0,149570.0,40,219600.0,signal_reverse,short,5490.0
2012-10-17 18:02:00,2012-10-19 18:02:00,151130.0,149070.0,40,82400.0,signal_reverse,short,2060.0
2012-12-05 16:02:00,2012-12-07 16:02:00,146750.0,145460.0,92,-118680.0,signal_reverse,long,-1290.0
2013-05-03 16:02:00,2013-05-13 16:02:00,138020.0,140430.0,100,241000.0,signal_reverse,long,2410.0
2013-05-21 18:02:00,2013-05-22 16:02:00,143570.0,145820.0,40,-90000.0,close_opposing,short,-2250.0
2013-07-11 16:02:00,2013-07-23 16:02:00,130410.0,138430.0,72,577440.0,signal_reverse,long,8020.0
2013-08-14 18:02:00,2013-08-15 18:02:00,135230.0,132400.0,40,113200.0,signal_reverse,short,2830.0
2013-09-05 18:02:00,2013-09-06 16:02:00,133620.0,134900.0,40,-51200.0,close_opposing,short,-1280.0
2013-09-06 18:02:00,2013-09-09 11:59:00,134600.0,136340.0,40,-69600.0,expiration,short,-1740.0
2013-09-18 16:02:00,2013-09-18 18:02:00,144200.0,143240.0,100,-96000.0,close_opposing,long,-960.0
2013-09-19 18:04:00,2013-09-23 18:02:00,147830.0,145000.0,32,90560.0,signal_reverse,short,2830.0
2013-10-10 18:02:00,2013-10-23 18:02:00,148550.0,149180.0,40,-25200.0,signal_reverse,short,-630.0
2013-12-19 16:02:00,2013-12-20 16:02:00,143850.0,142830.0,76,-77520.0,signal_reverse,long,-1020.0
2013-12-23 16:02:00,2013-12-26 16:02:00,144740.0,145340.0,100,60000.0,signal_reverse,long,600.0
2014-03-26 16:02:00,2014-04-03 16:02:00,118310.0,118320.0,48,480.0,signal_reverse,long,10.0
2014-05-07 16:02:00,2014-05-20 16:02:00,115720.0,127480.0,64,752640.0,signal_reverse,long,11760.0
2014-05-20 18:02:00,2014-05-26 18:02:00,128170.0,131650.0,40,-139200.0,signal_reverse,short,-3480.0
2014-06-19 18:02:00,2014-06-20 18:02:00,132770.0,131490.0,40,51200.0,signal_reverse,short,1280.0
2014-06-24 18:02:00,2014-06-26 18:02:00,136240.0,131660.0,40,183200.0,signal_reverse,short,4580.0
2014-07-02 18:02:00,2014-07-04 18:02:00,133980.0,132250.0,40,69200.0,signal_reverse,short,1730.0
2014-07-07 18:02:00,2014-07-10 18:02:00,134170.0,133240.0,40,37200.0,signal_reverse,short,930.0
2014-08-15 16:02:00,2014-08-22 16:02:00,124450.0,125300.0,72,61200.0,signal_reverse,long,850.0
2014-11-24 16:02:00,2014-11-25 16:02:00,106910.0,105560.0,68,-91800.0,signal_reverse,long,-1350.0
2015-01-22 16:02:00,2015-01-26 16:02:00,80320.0,77080.0,68,-220320.0,signal_reverse,long,-3240.0
2015-02-04 16:02:00,2015-02-19 16:02:00,77690.0,89200.0,56,644560.0,signal_reverse,long,11510.0
2015-02-19 18:02:00,2015-02-24 18:02:00,89560.0,87270.0,40,91600.0,signal_reverse,short,2290.0
2015-02-26 18:02:00,2015-02-27 18:02:00,90880.0,88910.0,40,78800.0,signal_reverse,short,1970.0
2015-03-05 18:02:00,2015-03-06 18:02:00,91370.0,90300.0,40,42800.0,signal_reverse,short,1070.0
2015-03-30 18:02:00,2015-04-02 16:02:00,86260.0,91480.0,40,-208800.0,close_opposing,short,-5220.0
2015-04-02 18:02:00,2015-04-03 16:02:00,92010.0,92880.0,40,-34800.0,close_opposing,short,-870.0
2015-04-03 18:02:00,2015-04-06 16:03:00,91690.0,94110.0,40,-96800.0,close_opposing,short,-2420.0
2015-04-06 18:03:00,2015-04-07 16:02:00,95400.0,95650.0,40,-10000.0,close_opposing,short,-250.0
